team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Cincinnati,2132,2016,American Athletic,12,4.2,4,8,3,4,1,4
Clemson,228,2016,ACC,15,13.5,14,1,6,1,5,0
Colorado,38,2016,Pac-12,14,9.0,10,4,6,0,3,2
Colorado State,36,2016,Mountain West,13,7.4,7,6,5,1,2,3
Connecticut,41,2016,American Athletic,12,3.0,3,9,3,4,0,5
Duke,150,2016,ACC,12,4.7,4,8,3,3,1,5
East Carolina,151,2016,American Athletic,12,2.9,3,9,3,3,0,6
Eastern Michigan,2199,2016,Mid-American,13,7.2,7,6,3,3,4,2
Florida,57,2016,SEC,13,8.5,9,4,5,0,2,3
Florida Atlantic,2226,2016,Conference USA,12,3.4,3,9,2,4,1,5
Florida International,2229,2016,Conference USA,12,4.0,4,8,2,5,2,3
Florida State,52,2016,ACC,13,9.3,10,3,4,2,4,1
Fresno State,278,2016,Mountain West,12,1.6,1,11,1,5,0,6
Georgia,61,2016,SEC,13,7.6,8,5,3,3,3,1
Georgia Southern,290,2016,Sun Belt,12,4.6,5,7,3,2,2,5
Georgia State,2247,2016,Sun Belt,12,4.1,3,9,3,3,0,6
Georgia Tech,59,2016,ACC,13,7.2,9,4,5,2,2,2
Hawai'i,62,2016,Mountain West,14,6.7,7,7,3,3,3,3
Houston,248,2016,American Athletic,13,9.6,9,4,6,0,2,3
Illinois,356,2016,Big Ten,12,3.4,3,9,2,5,1,4
Indiana,84,2016,Big Ten,13,6.3,6,7,4,3,2,3
Iowa,2294,2016,Big Ten,13,7.4,8,5,4,3,4,1
Iowa State,66,2016,Big 12,12,4.0,3,9,2,5,1,4
Kansas,2305,2016,Big 12,12,2.2,2,10,2,4,0,6
Kansas State,2306,2016,Big 12,13,7.8,9,4,5,1,3,3
Kent State,2309,2016,Mid-American,12,4.4,3,9,1,5,2,4
Kentucky,96,2016,SEC,13,6.0,7,6,5,2,2,3
Louisiana,309,2016,Sun Belt,13,6.5,6,7,3,3,3,3
