team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Temple,218,2004,Big East,11,0.0,2,9,1,4,0,5
Tennessee,2633,2004,SEC,13,0.0,10,3,5,3,5,0
Texas,251,2004,Big 12,12,0.0,11,1,7,0,4,1
Texas A&M,245,2004,Big 12,12,0.0,7,5,5,2,2,3
Texas Tech,2641,2004,Big 12,12,0.0,8,4,4,1,4,3
Toledo,2649,2004,Mid-American,13,0.0,9,4,5,0,4,4
Troy,2653,2004,Sun Belt,12,0.0,7,5,5,0,2,5
Tulane,2655,2004,Conference USA,11,0.0,5,6,3,2,1,4
Tulsa,202,2004,Western Athletic,12,0.0,4,8,3,2,0,6
UAB,5,2004,Conference USA,12,0.0,7,5,4,2,3,3
UCF,2116,2004,Mid-American,11,0.0,0,11,0,5,0,6
UCLA,26,2004,Pac-10,12,0.0,6,6,3,4,3,2
UNLV,2439,2004,Mountain West,11,0.0,2,9,1,4,1,5
USC,30,2004,Pac-10,13,0.0,13,0,6,0,7,0
Utah,254,2004,Mountain West,12,0.0,12,0,7,0,5,0
Utah State,328,2004,Sun Belt,11,0.0,3,8,2,2,1,6
UTEP,2638,2004,Western Athletic,12,0.0,8,4,5,2,3,2
Vanderbilt,238,2004,SEC,11,0.0,2,9,2,4,0,5
Virginia,258,2004,ACC,12,0.0,8,4,5,1,3,3
Virginia Tech,259,2004,ACC,13,0.0,10,3,6,2,4,1
Wake Forest,154,2004,ACC,11,0.0,4,7,3,3,1,4
Washington,264,2004,Pac-10,11,0.0,1,10,1,5,0,5
Washington State,265,2004,Pac-10,11,0.0,5,6,1,4,4,2
Western Michigan,2711,2004,Mid-American,11,0.0,1,10,1,4,0,6
West Virginia,277,2004,Big East,12,0.0,8,4,5,2,3,2
Wisconsin,275,2004,Big Ten,12,0.0,9,3,6,1,3,2
Wyoming,2751,2004,Mountain West,12,0.0,7,5,4,1,2,4
Air Force,2005,2005,Mountain West,11,0.0,4,7,3,3,1,4
Akron,2006,2005,Mid-American,13,0.0,7,6,3,3,4,3
Alabama,333,2005,SEC,12,0.0,10,2,7,1,3,1
Arizona,12,2005,Pac-10,11,0.0,3,8,2,4,1,4
Arizona State,9,2005,Pac-10,12,0.0,7,5,4,3,3,2
Arkansas,8,2005,SEC,11,0.0,4,7,3,3,1,4
Arkansas State,2032,2005,Sun Belt,12,0.0,6,6,4,2,1,4
Army,349,2005,FBS Independents,11,0.0,4,7,2,5,2,2
Auburn,2,2005,SEC,12,0.0,9,3,6,2,3,1
Ball State,2050,2005,Mid-American,11,0.0,4,7,1,3,3,4
Baylor,239,2005,Big 12,11,0.0,5,6,1,3,3,3
Boise State,68,2005,Western Athletic,13,0.0,9,4,6,0,3,4
Boston College,103,2005,ACC,12,0.0,9,3,6,1,3,2
Bowling Green,189,2005,Mid-American,11,0.0,6,5,2,3,4,2
Buffalo,2084,2005,Mid-American,11,0.0,1,10,0,5,1,5
BYU,252,2005,Mountain West,12,0.0,6,6,3,3,3,3
California,25,2005,Pac-10,12,0.0,8,4,5,2,3,2
Central Michigan,2117,2005,Mid-American,11,0.0,6,5,2,3,4,2
Cincinnati,2132,2005,Big East,11,0.0,4,7,3,2,1,5
Clemson,228,2005,ACC,12,0.0,8,4,4,2,4,2
Colorado,38,2005,Big 12,13,0.0,7,6,5,3,2,3
Colorado State,36,2005,Mountain West,12,0.0,6,6,4,1,2,5
Connecticut,41,2005,Big East,11,0.0,5,6,4,2,1,4
Duke,150,2005,ACC,11,0.0,1,10,1,5,0,5
East Carolina,151,2005,Conference USA,11,0.0,5,6,3,2,2,4
Eastern Michigan,2199,2005,Mid-American,11,0.0,4,7,2,3,2,4
Florida,57,2005,SEC,12,0.0,9,3,8,0,1,3
Florida Atlantic,2226,2005,Sun Belt,11,0.0,2,9,1,4,1,5
Florida International,2229,2005,Sun Belt,11,0.0,5,6,3,1,2,5
Florida State,52,2005,ACC,13,0.0,8,5,6,2,2,3
Fresno State,278,2005,Western Athletic,13,0.0,8,5,5,1,3,4
Georgia,61,2005,SEC,13,0.0,10,3,5,2,5,1
Georgia Tech,59,2005,ACC,12,0.0,7,5,4,2,3,3
Hawai'i,62,2005,Western Athletic,12,0.0,5,7,3,4,2,3
Houston,248,2005,Conference USA,12,0.0,6,6,2,4,3,2
Illinois,356,2005,Big Ten,11,0.0,2,9,2,4,0,5
Indiana,84,2005,Big Ten,11,0.0,4,7,3,3,1,4
Iowa,2294,2005,Big Ten,12,0.0,7,5,5,1,2,4
Iowa State,66,2005,Big 12,12,0.0,7,5,5,2,2,3
Kansas,2305,2005,Big 12,12,0.0,7,5,6,1,1,4
Kansas State,2306,2005,Big 12,11,0.0,5,6,4,2,1,4
Kent State,2309,2005,Mid-American,11,0.0,1,10,1,4,0,6
Kentucky,96,2005,SEC,11,0.0,3,8,2,4,1,4
Louisiana,309,2005,Sun Belt,11,0.0,6,5,3,2,3,3
Louisiana Monroe,2433,2005,Sun Belt,11,0.0,5,6,2,3,3,3
Louisiana Tech,2348,2005,Western Athletic,11,0.0,7,4,4,1,3,3
Louisville,97,2005,Big East,12,0.0,9,3,6,0,3,3
LSU,99,2005,SEC,13,0.0,11,2,6,2,5,0
Marshall,276,2005,Conference USA,11,0.0,4,7,3,3,1,4
Maryland,120,2005,ACC,11,0.0,5,6,1,4,4,2
Memphis,235,2005,Conference USA,12,0.0,7,5,4,2,3,3
Miami,2390,2005,ACC,12,0.0,9,3,5,1,4,2
Miami (OH),193,2005,Mid-American,11,0.0,7,4,3,2,4,2
Michigan,130,2005,Big Ten,12,0.0,7,5,4,3,3,2
Michigan State,127,2005,Big Ten,11,0.0,5,6,3,3,2,3
Middle Tennessee,2393,2005,Sun Belt,11,0.0,4,7,1,4,3,3
Minnesota,135,2005,Big Ten,12,0.0,7,5,4,3,3,2
Mississippi State,344,2005,SEC,11,0.0,3,8,2,4,1,4
Missouri,142,2005,Big 12,12,0.0,7,5,5,2,2,3
Navy,2426,2005,FBS Independents,12,0.0,8,4,5,2,3,2
NC State,152,2005,ACC,12,0.0,7,5,5,3,2,2
Nebraska,158,2005,Big 12,12,0.0,8,4,6,2,2,2
Nevada,2440,2005,Western Athletic,12,0.0,9,3,5,1,4,2
New Mexico,167,2005,Mountain West,11,0.0,6,5,2,3,4,2
New Mexico State,166,2005,Western Athletic,12,0.0,0,12,0,6,0,6
North Carolina,153,2005,ACC,11,0.0,5,6,4,2,1,4
Northern Illinois,2459,2005,Mid-American,12,0.0,7,5,4,2,3,3
North Texas,249,2005,Sun Belt,11,0.0,2,9,0,5,2,4
Northwestern,77,2005,Big Ten,12,0.0,7,5,4,2,3,3
Notre Dame,87,2005,FBS Independents,12,0.0,9,3,4,2,5,1
Ohio,195,2005,Mid-American,11,0.0,4,7,3,2,1,5
Ohio State,194,2005,Big Ten,12,0.0,10,2,7,1,3,1
Oklahoma,201,2005,Big 12,12,0.0,8,4,6,1,2,3
Oklahoma State,197,2005,Big 12,11,0.0,4,7,3,3,1,4
Ole Miss,145,2005,SEC,11,0.0,3,8,2,4,1,4
Oregon,2483,2005,Pac-10,12,0.0,10,2,5,1,5,1
Oregon State,204,2005,Pac-10,11,0.0,5,6,3,3,2,3
Penn State,213,2005,Big Ten,12,0.0,11,1,7,0,4,1
Pittsburgh,221,2005,Big East,11,0.0,5,6,5,1,0,5
Purdue,2509,2005,Big Ten,11,0.0,5,6,3,3,2,3
Rice,242,2005,Conference USA,11,0.0,1,10,1,4,0,6
Rutgers,164,2005,Big East,12,0.0,7,5,3,3,3,2
San Diego State,21,2005,Mountain West,12,0.0,5,7,3,3,2,4
San José State,23,2005,Western Athletic,11,0.0,3,8,3,2,0,6
SMU,2567,2005,Conference USA,11,0.0,5,6,3,3,2,3
South Carolina,2579,2005,SEC,12,0.0,7,5,5,2,2,3
Southern Mississippi,2572,2005,Conference USA,12,0.0,7,5,3,2,4,3
South Florida,58,2005,Big East,12,0.0,6,6,4,1,2,5
Stanford,24,2005,Pac-10,11,0.0,5,6,1,5,4,1
Syracuse,183,2005,Big East,11,0.0,1,10,1,5,0,5
TCU,2628,2005,Mountain West,12,0.0,11,1,5,0,6,1
Temple,218,2005,FBS Independents,11,0.0,0,11,0,5,0,6
Tennessee,2633,2005,SEC,11,0.0,5,6,3,3,2,3
Texas,251,2005,Big 12,13,0.0,13,0,7,0,6,0
Texas A&M,245,2005,Big 12,11,0.0,5,6,4,2,1,4
Texas Tech,2641,2005,Big 12,12,0.0,9,3,7,0,2,3
Toledo,2649,2005,Mid-American,12,0.0,9,3,4,1,5,2
Troy,2653,2005,Sun Belt,11,0.0,4,7,3,2,1,5
Tulane,2655,2005,Conference USA,11,0.0,2,9,0,5,1,4
Tulsa,202,2005,Conference USA,13,0.0,9,4,4,2,5,2
UAB,5,2005,Conference USA,11,0.0,5,6,1,3,3,3
UCF,2116,2005,Conference USA,13,0.0,8,5,4,2,4,3
UCLA,26,2005,Pac-10,12,0.0,10,2,7,0,3,2
UNLV,2439,2005,Mountain West,11,0.0,2,9,2,3,0,6
USC,30,2005,Pac-10,13,0.0,12,1,6,0,6,1
Utah,254,2005,Mountain West,12,0.0,7,5,5,2,2,3
Utah State,328,2005,Western Athletic,11,0.0,3,8,2,3,1,5
UTEP,2638,2005,Conference USA,12,0.0,8,4,5,2,3,2
Vanderbilt,238,2005,SEC,11,0.0,5,6,2,4,3,2
Virginia,258,2005,ACC,12,0.0,7,5,5,1,2,4
Virginia Tech,259,2005,ACC,13,0.0,11,2,6,1,5,1
Wake Forest,154,2005,ACC,11,0.0,4,7,3,3,1,4
Washington,264,2005,Pac-10,11,0.0,2,9,1,5,1,4
Washington State,265,2005,Pac-10,11,0.0,4,7,2,4,2,3
Western Michigan,2711,2005,Mid-American,11,0.0,7,4,4,1,3,3
West Virginia,277,2005,Big East,12,0.0,11,1,5,1,6,0
Wisconsin,275,2005,Big Ten,13,0.0,10,3,5,1,5,2
Wyoming,2751,2005,Mountain West,11,0.0,4,7,2,3,2,4
Air Force,2005,2006,Mountain West,12,0.0,4,8,2,4,2,4
Akron,2006,2006,Mid-American,12,0.0,5,7,4,1,1,6
Alabama,333,2006,SEC,13,0.0,6,7,6,3,0,4
Arizona,12,2006,Pac-10,12,0.0,6,6,3,4,3,2
Arizona State,9,2006,Pac-10,13,0.0,7,6,4,2,3,4
Arkansas,8,2006,SEC,14,0.0,10,4,5,2,5,2
Arkansas State,2032,2006,Sun Belt,12,0.0,6,6,3,2,3,4
Army,349,2006,FBS Independents,12,0.0,3,9,2,3,1,6
Auburn,2,2006,SEC,13,0.0,11,2,6,2,5,0
Ball State,2050,2006,Mid-American,12,0.0,5,7,2,4,3,3
Baylor,239,2006,Big 12,12,0.0,4,8,2,4,1,4
Boise State,68,2006,Western Athletic,13,0.0,13,0,6,0,7,0
Boston College,103,2006,ACC,13,0.0,10,3,8,0,2,3
Bowling Green,189,2006,Mid-American,12,0.0,4,8,2,3,2,5
Buffalo,2084,2006,Mid-American,12,0.0,2,10,2,3,0,7
BYU,252,2006,Mountain West,13,0.0,11,2,6,0,5,2
California,25,2006,Pac-10,13,0.0,10,3,8,0,2,3
Central Michigan,2117,2006,Mid-American,14,0.0,10,4,5,1,5,3
Cincinnati,2132,2006,Big East,13,0.0,8,5,7,1,1,4
Clemson,228,2006,ACC,13,0.0,8,5,5,2,3,3
Colorado,38,2006,Big 12,12,0.0,2,10,2,4,0,6
Colorado State,36,2006,Mountain West,12,0.0,4,8,2,3,1,5
Connecticut,41,2006,Big East,12,0.0,4,8,3,4,1,4
Duke,150,2006,ACC,12,0.0,0,12,0,7,0,5
East Carolina,151,2006,Conference USA,13,0.0,7,6,4,3,3,3
Eastern Michigan,2199,2006,Mid-American,12,0.0,1,11,1,4,0,7
Florida,57,2006,SEC,14,0.0,13,1,8,0,5,1
Florida Atlantic,2226,2006,Sun Belt,12,0.0,5,7,3,2,2,5
Florida International,2229,2006,Sun Belt,12,0.0,0,12,0,5,0,7
Florida State,52,2006,ACC,13,0.0,7,6,4,4,3,2
Fresno State,278,2006,Western Athletic,12,0.0,4,8,3,3,1,5
Georgia,61,2006,SEC,13,0.0,9,4,5,3,4,1
Georgia Tech,59,2006,ACC,14,0.0,9,5,6,2,3,3
Hawai'i,62,2006,Western Athletic,14,0.0,11,3,8,1,3,2
Houston,248,2006,Conference USA,14,0.0,10,4,7,1,3,3
Illinois,356,2006,Big Ten,12,0.0,2,10,1,6,1,4
Indiana,84,2006,Big Ten,12,0.0,5,7,3,4,2,3
Iowa,2294,2006,Big Ten,13,0.0,6,7,4,4,2,3
Iowa State,66,2006,Big 12,12,0.0,4,8,4,3,0,5
Kansas,2305,2006,Big 12,12,0.0,6,6,5,2,1,4
Kansas State,2306,2006,Big 12,13,0.0,7,6,6,3,1,3
Kent State,2309,2006,Mid-American,12,0.0,6,6,3,2,3,4
Kentucky,96,2006,SEC,13,0.0,8,5,7,1,1,4
Louisiana,309,2006,Sun Belt,12,0.0,6,6,3,3,3,3
Louisiana Monroe,2433,2006,Sun Belt,12,0.0,4,8,2,3,2,5
Louisiana Tech,2348,2006,Western Athletic,13,0.0,3,10,2,3,1,7
Louisville,97,2006,Big East,13,0.0,12,1,6,0,6,1
LSU,99,2006,SEC,13,0.0,11,2,9,0,2,2
Marshall,276,2006,Conference USA,12,0.0,5,7,4,1,1,6
Maryland,120,2006,ACC,13,0.0,9,4,7,1,2,3
Memphis,235,2006,Conference USA,12,0.0,2,10,1,6,1,4
Miami,2390,2006,ACC,13,0.0,7,6,4,2,2,4
Miami (OH),193,2006,Mid-American,12,0.0,2,10,0,5,2,5
Michigan,130,2006,Big Ten,13,0.0,11,2,7,1,4,1
Michigan State,127,2006,Big Ten,12,0.0,4,8,2,5,2,3
Middle Tennessee,2393,2006,Sun Belt,13,0.0,7,6,3,2,4,4
Minnesota,135,2006,Big Ten,13,0.0,6,7,4,3,2,4
Mississippi State,344,2006,SEC,12,0.0,3,9,1,6,2,3
Missouri,142,2006,Big 12,13,0.0,8,5,6,2,2,3
Navy,2426,2006,FBS Independents,13,0.0,9,4,4,3,5,1
NC State,152,2006,ACC,12,0.0,3,9,3,4,0,5
Nebraska,158,2006,Big 12,14,0.0,9,5,6,2,3,3
Nevada,2440,2006,Western Athletic,13,0.0,8,5,5,2,3,3
New Mexico,167,2006,Mountain West,13,0.0,6,7,3,4,3,3
New Mexico State,166,2006,Western Athletic,12,0.0,4,8,3,4,1,4
North Carolina,153,2006,ACC,12,0.0,3,9,2,5,1,4
Northern Illinois,2459,2006,Mid-American,13,0.0,7,6,4,2,3,4
North Texas,249,2006,Sun Belt,12,0.0,3,9,2,3,1,6
Northwestern,77,2006,Big Ten,12,0.0,4,8,2,4,2,4
Notre Dame,87,2006,FBS Independents,13,0.0,10,3,6,1,4,2
Ohio,195,2006,Mid-American,14,0.0,9,5,4,2,5,3
Ohio State,194,2006,Big Ten,13,0.0,12,1,7,1,5,0
Oklahoma,201,2006,Big 12,14,0.0,11,3,7,2,4,1
Oklahoma State,197,2006,Big 12,13,0.0,7,6,4,2,3,4
Ole Miss,145,2006,SEC,12,0.0,4,8,4,3,0,5
Oregon,2483,2006,Pac-10,13,0.0,7,6,5,2,2,4
Oregon State,204,2006,Pac-10,14,0.0,10,4,5,2,5,2
Penn State,213,2006,Big Ten,13,0.0,9,4,7,1,2,3
Pittsburgh,221,2006,Big East,12,0.0,6,6,3,4,3,2
Purdue,2509,2006,Big Ten,14,0.0,8,6,5,2,3,4
Rice,242,2006,Conference USA,13,0.0,7,6,3,2,4,4
Rutgers,164,2006,Big East,13,0.0,11,2,5,0,5,2
San Diego State,21,2006,Mountain West,12,0.0,3,9,3,3,0,6
San José State,23,2006,Western Athletic,13,0.0,9,4,7,1,2,3
SMU,2567,2006,Conference USA,12,0.0,6,6,5,1,1,5
South Carolina,2579,2006,SEC,13,0.0,8,5,4,4,4,1
Southern Mississippi,2572,2006,Conference USA,14,0.0,9,5,6,1,3,4
South Florida,58,2006,Big East,13,0.0,9,4,5,1,4,3
Stanford,24,2006,Pac-10,12,0.0,1,11,0,5,1,6
Syracuse,183,2006,Big East,12,0.0,4,8,3,3,1,5
TCU,2628,2006,Mountain West,13,0.0,11,2,6,1,5,1
Temple,218,2006,FBS Independents,12,0.0,1,11,1,4,0,7
Tennessee,2633,2006,SEC,13,0.0,9,4,5,2,4,2
Texas,251,2006,Big 12,13,0.0,10,3,5,2,5,1
Texas A&M,245,2006,Big 12,13,0.0,9,4,5,3,4,1
Texas Tech,2641,2006,Big 12,13,0.0,8,5,4,2,4,3
Toledo,2649,2006,Mid-American,12,0.0,5,7,4,2,1,5
Troy,2653,2006,Sun Belt,13,0.0,8,5,5,1,3,4
Tulane,2655,2006,Conference USA,12,0.0,4,8,3,2,1,6
Tulsa,202,2006,Conference USA,13,0.0,8,5,4,1,3,4
UAB,5,2006,Conference USA,12,0.0,3,9,3,3,0,6
UCF,2116,2006,Conference USA,12,0.0,4,8,1,5,2,3
UCLA,26,2006,Pac-10,13,0.0,7,6,6,2,1,4
UNLV,2439,2006,Mountain West,12,0.0,2,10,1,4,0,6
USC,30,2006,Pac-10,13,0.0,11,2,6,0,5,2
Utah,254,2006,Mountain West,13,0.0,8,5,5,2,3,3
Utah State,328,2006,Western Athletic,12,0.0,1,11,1,4,0,7
UTEP,2638,2006,Conference USA,12,0.0,5,7,3,3,2,4
Vanderbilt,238,2006,SEC,12,0.0,4,8,2,4,2,4
Virginia,258,2006,ACC,12,0.0,5,7,4,2,1,5
Virginia Tech,259,2006,ACC,13,0.0,10,3,7,2,3,1
Wake Forest,154,2006,ACC,14,0.0,11,3,4,3,7,0
Washington,264,2006,Pac-10,12,0.0,5,7,3,3,2,4
Washington State,265,2006,Pac-10,12,0.0,6,6,3,4,3,2
Western Michigan,2711,2006,Mid-American,13,0.0,8,5,5,0,3,5
West Virginia,277,2006,Big East,13,0.0,11,2,7,1,4,1
Wisconsin,275,2006,Big Ten,13,0.0,12,1,8,0,4,1
Wyoming,2751,2006,Mountain West,12,0.0,6,6,4,2,2,4
Air Force,2005,2007,Mountain West,13,0.0,9,4,6,1,3,3
Akron,2006,2007,Mid-American,12,0.0,4,8,3,2,1,6
Alabama,333,2007,SEC,13,0.0,7,6,4,3,3,3
Arizona,12,2007,Pac-10,12,0.0,5,7,4,2,1,5
Arizona State,9,2007,Pac-10,13,0.0,10,3,7,1,3,2
Arkansas,8,2007,SEC,13,0.0,8,5,5,3,2,2
Arkansas State,2032,2007,Sun Belt,12,0.0,5,7,5,1,0,6
Army,349,2007,FBS Independents,12,0.0,3,9,3,2,0,7
Auburn,2,2007,SEC,13,0.0,9,4,7,2,2,2
Ball State,2050,2007,Mid-American,13,0.0,7,6,3,3,4,3
Baylor,239,2007,Big 12,12,0.0,3,9,1,4,1,5
Boise State,68,2007,Western Athletic,13,0.0,10,3,7,0,3,3
Boston College,103,2007,ACC,14,0.0,11,3,6,2,5,1
Bowling Green,189,2007,Mid-American,13,0.0,8,5,4,1,4,4
Buffalo,2084,2007,Mid-American,12,0.0,5,7,3,2,2,5
BYU,252,2007,Mountain West,13,0.0,11,2,7,0,4,2
California,25,2007,Pac-10,13,0.0,7,6,4,2,3,4
Central Michigan,2117,2007,Mid-American,14,0.0,8,6,4,3,4,3
Cincinnati,2132,2007,Big East,13,0.0,10,3,5,2,5,1
Clemson,228,2007,ACC,13,0.0,9,4,5,2,4,2
Colorado,38,2007,Big 12,13,0.0,6,7,4,4,2,3
Colorado State,36,2007,Mountain West,12,0.0,3,9,1,4,1,5
Connecticut,41,2007,Big East,13,0.0,9,4,7,0,2,4
Duke,150,2007,ACC,12,0.0,1,11,0,5,1,6
East Carolina,151,2007,Conference USA,13,0.0,8,5,5,2,3,3
Eastern Michigan,2199,2007,Mid-American,12,0.0,4,8,2,3,2,5
Florida,57,2007,SEC,13,0.0,9,4,6,3,3,1
Florida Atlantic,2226,2007,Sun Belt,13,0.0,8,5,4,2,4,3
Florida International,2229,2007,Sun Belt,12,0.0,1,11,1,4,0,7
Florida State,52,2007,ACC,13,0.0,7,6,5,2,2,4
Fresno State,278,2007,Western Athletic,13,0.0,9,4,6,1,3,3
Georgia,61,2007,SEC,13,0.0,11,2,7,1,4,1
Georgia Tech,59,2007,ACC,13,0.0,7,6,4,3,3,3
Hawai'i,62,2007,Western Athletic,13,0.0,12,1,5,0,5,1
Houston,248,2007,Conference USA,13,0.0,8,5,4,2,3,3
Illinois,356,2007,Big Ten,13,0.0,9,4,5,2,4,2
Indiana,84,2007,Big Ten,13,0.0,7,6,5,2,2,4
Iowa,2294,2007,Big Ten,12,0.0,6,6,4,2,2,4
Iowa State,66,2007,Big 12,12,0.0,3,9,3,4,0,5
Kansas,2305,2007,Big 12,13,0.0,12,1,7,1,5,0
Kansas State,2306,2007,Big 12,12,0.0,5,7,4,2,1,5
Kent State,2309,2007,Mid-American,12,0.0,3,9,1,4,2,5
Kentucky,96,2007,SEC,13,0.0,8,5,5,3,3,2
Louisiana,309,2007,Sun Belt,12,0.0,3,9,1,5,2,4
Louisiana Monroe,2433,2007,Sun Belt,12,0.0,6,6,3,2,3,4
Louisiana Tech,2348,2007,Western Athletic,12,0.0,5,7,3,2,2,5
Louisville,97,2007,Big East,12,0.0,6,6,4,2,2,4
LSU,99,2007,SEC,14,0.0,12,2,7,1,5,1
Marshall,276,2007,Conference USA,12,0.0,3,9,3,3,0,6
Maryland,120,2007,ACC,13,0.0,6,7,3,3,3,4
Memphis,235,2007,Conference USA,13,0.0,7,6,4,3,3,3
Miami,2390,2007,ACC,12,0.0,5,7,4,3,1,4
Miami (OH),193,2007,Mid-American,13,0.0,6,7,4,1,2,6
Michigan,130,2007,Big Ten,13,0.0,9,4,5,3,4,1
Michigan State,127,2007,Big Ten,13,0.0,7,6,5,3,2,3
Middle Tennessee,2393,2007,Sun Belt,12,0.0,5,7,2,3,3,4
Minnesota,135,2007,Big Ten,12,0.0,1,11,1,5,0,5
Mississippi State,344,2007,SEC,13,0.0,8,5,5,2,3,3
Missouri,142,2007,Big 12,14,0.0,12,2,6,1,6,1
Navy,2426,2007,FBS Independents,13,0.0,8,5,4,4,4,1
NC State,152,2007,ACC,12,0.0,5,7,3,4,2,3
Nebraska,158,2007,Big 12,12,0.0,5,7,4,3,1,4
Nevada,2440,2007,Western Athletic,13,0.0,6,7,4,2,2,5
New Mexico,167,2007,Mountain West,13,0.0,9,4,6,1,3,3
New Mexico State,166,2007,Western Athletic,13,0.0,4,9,4,3,0,6
North Carolina,153,2007,ACC,12,0.0,4,8,4,2,0,6
Northern Illinois,2459,2007,Mid-American,12,0.0,2,10,1,5,1,5
North Texas,249,2007,Sun Belt,12,0.0,2,10,2,3,0,7
Northwestern,77,2007,Big Ten,12,0.0,6,6,4,3,2,3
Notre Dame,87,2007,FBS Independents,12,0.0,3,9,1,6,2,3
Ohio,195,2007,Mid-American,12,0.0,6,6,4,2,2,4
Ohio State,194,2007,Big Ten,13,0.0,11,2,6,2,5,0
Oklahoma,201,2007,Big 12,14,0.0,11,3,7,1,4,2
Oklahoma State,197,2007,Big 12,13,0.0,7,6,5,2,2,4
Ole Miss,145,2007,SEC,12,0.0,3,9,2,5,1,4
Oregon,2483,2007,Pac-10,13,0.0,9,4,6,2,3,2
Oregon State,204,2007,Pac-10,13,0.0,9,4,6,1,3,3
Penn State,213,2007,Big Ten,13,0.0,9,4,6,1,3,3
Pittsburgh,221,2007,Big East,12,0.0,5,7,4,3,1,4
Purdue,2509,2007,Big Ten,13,0.0,8,5,5,2,3,3
Rice,242,2007,Conference USA,12,0.0,3,9,1,5,2,4
Rutgers,164,2007,Big East,13,0.0,8,5,4,3,3,2
San Diego State,21,2007,Mountain West,12,0.0,4,8,1,4,2,4
San José State,23,2007,Western Athletic,12,0.0,5,7,4,1,1,6
SMU,2567,2007,Conference USA,12,0.0,1,11,1,5,0,6
South Carolina,2579,2007,SEC,12,0.0,6,6,4,3,2,3
Southern Mississippi,2572,2007,Conference USA,13,0.0,7,6,3,3,4,3
South Florida,58,2007,Big East,13,0.0,9,4,5,1,4,3
Stanford,24,2007,Pac-10,12,0.0,4,8,2,6,2,2
Syracuse,183,2007,Big East,12,0.0,2,10,1,6,1,4
TCU,2628,2007,Mountain West,13,0.0,8,5,5,1,3,4
Temple,218,2007,Mid-American,12,0.0,4,8,3,3,1,5
Tennessee,2633,2007,SEC,14,0.0,10,4,8,0,2,4
Texas,251,2007,Big 12,13,0.0,10,3,6,2,4,1
Texas A&M,245,2007,Big 12,13,0.0,7,6,6,2,1,4
Texas Tech,2641,2007,Big 12,13,0.0,9,4,5,1,4,3
Toledo,2649,2007,Mid-American,12,0.0,5,7,5,2,0,5
Troy,2653,2007,Sun Belt,12,0.0,8,4,4,1,4,3
Tulane,2655,2007,Conference USA,12,0.0,4,8,1,5,2,3
Tulsa,202,2007,Conference USA,14,0.0,10,4,6,1,4,3
UAB,5,2007,Conference USA,12,0.0,2,10,1,3,0,7
UCF,2116,2007,Conference USA,14,0.0,10,4,6,1,4,3
UCLA,26,2007,Pac-10,13,0.0,6,7,4,2,2,5
UNLV,2439,2007,Mountain West,12,0.0,2,10,1,5,1,5
USC,30,2007,Pac-10,13,0.0,11,2,6,1,5,1
Utah,254,2007,Mountain West,13,0.0,9,4,5,1,4,3
Utah State,328,2007,Western Athletic,12,0.0,2,10,0,5,2,5
UTEP,2638,2007,Conference USA,12,0.0,4,8,3,3,1,5
Vanderbilt,238,2007,SEC,12,0.0,5,7,4,4,1,3
Virginia,258,2007,ACC,13,0.0,9,4,5,2,4,2
Virginia Tech,259,2007,ACC,14,0.0,11,3,6,2,5,1
Wake Forest,154,2007,ACC,13,0.0,9,4,6,1,3,3
Washington,264,2007,Pac-10,13,0.0,4,9,2,5,2,4
Washington State,265,2007,Pac-10,12,0.0,5,7,4,2,1,5
Western Kentucky,98,2007,FBS Independents,12,0.0,7,5,4,1,3,4
Western Michigan,2711,2007,Mid-American,12,0.0,5,7,2,4,3,3
West Virginia,277,2007,Big East,13,0.0,11,2,5,1,6,1
Wisconsin,275,2007,Big Ten,13,0.0,9,4,7,0,2,4
Wyoming,2751,2007,Mountain West,12,0.0,5,7,4,2,1,5
Air Force,2005,2008,Mountain West,13,0.0,8,5,3,3,5,1
Akron,2006,2008,Mid-American,12,0.0,5,7,1,4,4,3
Alabama,333,2008,SEC,14,0.0,12,2,7,0,4,0
Arizona,12,2008,Pac-10,13,0.0,8,5,5,2,2,3
Arizona State,9,2008,Pac-10,12,0.0,5,7,4,3,1,4
Arkansas,8,2008,SEC,12,0.0,5,7,3,3,1,4
Arkansas State,2032,2008,Sun Belt,12,0.0,6,6,4,1,2,5
Army,349,2008,FBS Independents,12,0.0,3,9,2,4,1,4
Auburn,2,2008,SEC,12,0.0,5,7,4,3,1,4
Ball State,2050,2008,Mid-American,14,0.0,12,2,6,0,6,0
Baylor,239,2008,Big 12,12,0.0,4,8,3,3,0,5
Boise State,68,2008,Western Athletic,13,0.0,12,1,6,0,6,0
Boston College,103,2008,ACC,14,0.0,9,5,5,2,4,1
Bowling Green,189,2008,Mid-American,12,0.0,6,6,1,4,5,2
Buffalo,2084,2008,Mid-American,14,0.0,8,6,4,2,3,3
BYU,252,2008,Mountain West,13,0.0,10,3,6,0,4,2
California,25,2008,Pac-10,13,0.0,9,4,7,0,1,4
Central Michigan,2117,2008,Mid-American,13,0.0,8,5,4,1,4,3
Cincinnati,2132,2008,Big East,14,0.0,11,3,6,0,5,2
Clemson,228,2008,ACC,13,0.0,7,6,5,2,2,2
Colorado,38,2008,Big 12,12,0.0,5,7,4,2,0,5
Colorado State,36,2008,Mountain West,13,0.0,7,6,3,2,2,3
Connecticut,41,2008,Big East,13,0.0,8,5,4,2,3,3
