team,abbreviation,team_id,conference,stadium_capacity,latitude,longitude,logo
Texas Tech,TTU,2641,Big 12,60454.0,33.5910518,-101.8728824,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
Toledo,TOL,2649,Mid-American,26038.0,41.6574777,-83.6135652,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
Troy,TROY,2653,Sun Belt,30000.0,31.7995565,-85.9518328,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Tulane,TULN,2655,American Athletic,30000.0,29.944616,-90.116692,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa,TLSA,202,American Athletic,30000.0,36.1489175,-95.9437853,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
UAB,UAB,5,American Athletic,0.0,33.5206824,-86.8024326,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UCF,UCF,2116,Big 12,44206.0,28.6079765,-81.1927233,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
UCLA,UCLA,26,Pac-12,88565.0,34.1613284,-118.1676462,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
UMass,UMASS,113,FBS Independents,17000.0,42.3773244,-72.5360595,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
UNLV,UNLV,2439,Mountain West,65000.0,36.1672559,-115.1485163,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
USC,USC,30,Pac-12,77500.0,34.014167,-118.287778,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Utah,UTAH,254,Pac-12,45807.0,40.7599724,-111.8488255,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Utah State,USU,328,Mountain West,25513.0,41.7517394,-111.8116007,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
UTEP,UTEP,2638,Conference USA,51500.0,31.7733353,-106.507957,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UT San Antonio,UTSA,2636,American Athletic,36582.0,29.4169834,-98.4788143,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Vanderbilt,VAN,238,SEC,40351.0,36.1440455,-86.8088942,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Virginia,UVA,258,ACC,61500.0,38.0311801,-78.5137897,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,VT,259,ACC,65632.0,37.2199873,-80.4180643,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest,WAKE,154,ACC,31500.0,36.1305507,-80.2545851,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Washington,WASH,264,Pac-12,70138.0,47.6503235,-122.3015746,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington State,WSU,265,Pac-12,32952.0,46.731831,-117.1604991,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Western Kentucky,WKU,98,Conference USA,22113.0,36.9847901,-86.4594041,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Western Michigan,WMU,2711,Mid-American,30200.0,42.2860064,-85.6007573,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
West Virginia,WVU,277,Big 12,60000.0,39.6502744,-79.9551873,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Wisconsin,WIS,275,Big Ten,80321.0,43.06994,-89.4126943,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Wyoming,WYO,2751,Mountain West,29181.0,41.31161,-105.5681384,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
