year,team,conference,passing_usage,rushing_usage,usages
2015,Louisiana Monroe,Sun Belt,0.044,0.282,0.297
2015,Louisiana Tech,Conference USA,0.025,0.864,0.519
2015,Louisville,ACC,0.965,0.518,0.619
2015,LSU,SEC,0.993,0.645,0.77
2015,Marshall,Conference USA,0.049,0.612,0.347
2015,Maryland,Big Ten,0.107,0.601,0.34
2015,Memphis,American Athletic,0.984,0.642,0.769
2015,Miami,ACC,0.954,0.971,0.844
2015,Miami (OH),Mid-American,0.02,0.319,0.266
2015,Michigan,Big Ten,0.12,0.662,0.434
2015,Michigan State,Big Ten,0.995,0.308,0.576
2015,Middle Tennessee,Conference USA,0.997,0.759,0.8
2015,Minnesota,Big Ten,0.978,0.33,0.495
2015,Mississippi State,SEC,0.998,0.554,0.703
2015,Missouri,SEC,0.991,0.643,0.649
2015,Navy,FBS Independents,0.993,0.66,0.702
2015,NC State,ACC,0.98,0.821,0.804
2015,Nebraska,Big Ten,0.989,0.53,0.696
2015,Nevada,Mountain West,0.005,0.686,0.442
2015,New Mexico,Mountain West,0.925,0.858,0.847
2015,New Mexico State,Sun Belt,1.0,0.859,0.836
2015,North Carolina,ACC,0.998,1.0,0.95
2015,Northern Illinois,Mid-American,0.937,0.566,0.668
2015,North Texas,Conference USA,0.747,0.499,0.64
2015,Northwestern,Big Ten,0.117,0.736,0.442
2015,Notre Dame,FBS Independents,0.074,0.51,0.407
2015,Ohio,Mid-American,0.997,0.954,0.897
2015,Ohio State,Big Ten,0.982,0.961,0.913
2015,Oklahoma,Big 12,0.997,0.832,0.866
2015,Oklahoma State,Big 12,0.301,0.263,0.443
2015,Old Dominion,Conference USA,0.007,0.428,0.341
2015,Ole Miss,SEC,0.075,0.539,0.445
2015,Oregon,Pac-12,0.086,0.772,0.56
2015,Oregon State,Pac-12,0.002,0.222,0.203
2015,Penn State,Big Ten,0.978,0.525,0.789
2015,Pittsburgh,ACC,0.948,0.917,0.875
2015,Purdue,Big Ten,0.618,0.22,0.449
2015,Rice,Conference USA,0.995,0.998,0.899
2015,Rutgers,Big Ten,0.078,0.941,0.609
2015,San Diego State,Mountain West,0.121,0.965,0.62
2015,San José State,Mountain West,0.764,0.86,0.806
2015,SMU,American Athletic,0.798,0.803,0.753
2015,South Alabama,Sun Belt,0.264,0.419,0.363
2015,South Carolina,SEC,0.043,0.444,0.284
2015,Southern Mississippi,Conference USA,0.786,0.97,0.816
2015,South Florida,American Athletic,0.333,0.953,0.584
2015,Stanford,Pac-12,0.94,0.719,0.774
2015,Syracuse,ACC,0.941,0.449,0.638
2015,TCU,Big 12,0.949,0.774,0.842
2015,Temple,American Athletic,0.948,0.544,0.699
2015,Tennessee,SEC,0.393,0.636,0.602
