team,year,rank,points,talent_level,blue_chip,total,blue_sums,total_sums,blue_chip_ratio
Louisiana Tech,2024,113,139.16,137.805,0.0,0.0,0.0,41.0,0.0
Louisiana Monroe,2024,114,138.75,97.35249999999999,0.0,0.0,0.0,16.0,0.0
Temple,2024,115,138.09,140.1625,0.0,0.0,0.0,39.0,0.0
Hawai'i,2024,116,137.6,106.015,0.0,0.0,0.0,25.0,0.0
Louisiana,2024,117,137.49,140.9175,0.0,0.0,0.0,41.0,0.0
Connecticut,2024,118,133.58,112.8125,0.0,0.0,0.0,31.0,0.0
Middle Tennessee,2024,119,131.88,110.48499999999999,0.0,0.0,0.0,21.0,0.0
Georgia State,2024,120,126.1,124.035,0.0,0.0,0.0,35.0,0.0
Utah State,2024,121,125.72,116.8275,0.0,0.0,0.0,33.0,0.0
Rice,2024,122,121.73,131.2825,0.0,0.0,0.0,47.0,0.0
UT San Antonio,2024,123,121.57,156.5025,0.0,0.0,0.0,38.0,0.0
Sam Houston State,2024,124,121.16,94.3725,0.0,0.0,0.0,23.0,0.0
Old Dominion,2024,125,119.46,117.295,0.0,0.0,0.0,35.0,0.0
UMass,2024,126,119.41,104.935,0.0,0.0,0.0,33.0,0.0
Nevada,2024,127,113.08,123.60249999999999,0.0,0.0,0.0,42.0,0.0
Jacksonville State,2024,128,110.7,41.6925,0.0,0.0,0.0,4.0,0.0
New Mexico State,2024,134,67.75,107.055,0.0,0.0,0.0,31.0,0.0
Army,2024,152,37.76,74.3475,0.0,0.0,0.0,61.0,0.0
Navy,2024,153,37.64,69.41499999999999,0.0,0.0,0.0,39.0,0.0
Air Force,2024,172,23.21,102.0175,0.0,0.0,0.0,75.0,0.0
New Mexico,2024,201,10.22,86.89999999999999,0.0,0.0,0.0,41.0,0.0
