team,year,conference,elo,fpi,conference_rating
Kansas,2013,Big 12,1146.0,-10.105,10.6
Kansas State,2013,Big 12,1863.0,14.324,10.6
Kent State,2013,Mid-American,1384.0,-9.139,-12.792307692307693
Kentucky,2013,SEC,1235.0,-3.714,15.45
Louisiana,2013,Sun Belt,1417.0,-1.992,-16.125
Louisiana Monroe,2013,Sun Belt,1206.0,-10.467,-16.125
Louisiana Tech,2013,Conference USA,1238.0,-16.672,-11.878571428571428
LSU,2013,SEC,1994.0,19.358,15.45
Marshall,2013,Conference USA,1691.0,7.652,-11.878571428571428
Memphis,2013,American Athletic,1241.0,-6.835,-1.67
Miami,2013,ACC,1554.0,10.778,10.264285714285714
Miami (OH),2013,Mid-American,860.0,-26.393,-12.792307692307693
Middle Tennessee,2013,Conference USA,1359.0,-4.274,-11.878571428571428
Mississippi State,2013,SEC,1762.0,11.782,15.45
Missouri,2013,SEC,1873.0,21.194,15.45
Navy,2013,FBS Independents,1537.0,3.582,-12.066666666666666
NC State,2013,ACC,1367.0,-5.467,10.264285714285714
Nevada,2013,Mountain West,1384.0,-5.981,-5.908333333333333
New Mexico,2013,Mountain West,1164.0,-13.036,-5.908333333333333
North Carolina,2013,ACC,1827.0,11.239,10.264285714285714
Northern Illinois,2013,Mid-American,1739.0,5.488,-12.792307692307693
North Texas,2013,Conference USA,1657.0,2.799,-11.878571428571428
Notre Dame,2013,FBS Independents,1775.0,12.552,-12.066666666666666
Ohio,2013,Mid-American,1230.0,-7.968,-12.792307692307693
Oklahoma,2013,Big 12,1934.0,18.276,10.6
Oklahoma State,2013,Big 12,2004.0,22.412,10.6
Ole Miss,2013,SEC,1688.0,14.072,15.45
Oregon,2013,Pac-12,2001.0,27.204,14.0
Oregon State,2013,Pac-12,1639.0,12.762,14.0
Pittsburgh,2013,ACC,1545.0,5.297,10.264285714285714
Rice,2013,Conference USA,1521.0,0.019,-11.878571428571428
San Diego State,2013,Mountain West,1476.0,-3.15,-5.908333333333333
San José State,2013,Mountain West,1414.0,-3.454,-5.908333333333333
SMU,2013,American Athletic,1420.0,-3.933,-1.67
South Alabama,2013,Sun Belt,1424.0,-5.541,-16.125
South Carolina,2013,SEC,2045.0,20.663,15.45
South Florida,2013,American Athletic,1231.0,-11.537,-1.67
Stanford,2013,Pac-12,2011.0,23.515,14.0
Syracuse,2013,ACC,1426.0,-0.54,10.264285714285714
TCU,2013,Big 12,1610.0,8.686,10.6
Temple,2013,American Athletic,1433.0,-6.477,-1.67
Tennessee,2013,SEC,1421.0,3.97,15.45
Texas,2013,Big 12,1705.0,14.779,10.6
Texas A&M,2013,SEC,1898.0,18.773,15.45
Texas State,2013,Sun Belt,1185.0,-13.666,-16.125
Texas Tech,2013,Big 12,1626.0,9.492,10.6
Toledo,2013,Mid-American,1540.0,1.326,-12.792307692307693
Troy,2013,Sun Belt,1258.0,-9.98,-16.125
UAB,2013,Conference USA,871.0,-17.182,-11.878571428571428
UCF,2013,American Athletic,1831.0,10.823,-1.67
UCLA,2013,Pac-12,1872.0,19.679,14.0
UMass,2013,Mid-American,868.0,-23.188,-12.792307692307693
UNLV,2013,Mountain West,1311.0,-5.261,-5.908333333333333
USC,2013,Pac-12,1776.0,15.729,14.0
Utah,2013,Pac-12,1502.0,9.351,14.0
Utah State,2013,Mountain West,1773.0,9.63,-5.908333333333333
UTEP,2013,Conference USA,964.0,-21.539,-11.878571428571428
UT San Antonio,2013,Conference USA,1426.0,-4.804,-11.878571428571428
Vanderbilt,2013,SEC,1648.0,5.746,15.45
Virginia,2013,ACC,1197.0,-6.058,10.264285714285714
Virginia Tech,2013,ACC,1539.0,8.834,10.264285714285714
Wake Forest,2013,ACC,1316.0,-3.48,10.264285714285714
Washington,2013,Pac-12,1850.0,19.829,14.0
Washington State,2013,Pac-12,1425.0,4.784,14.0
Western Michigan,2013,Mid-American,1102.0,-19.309,-12.792307692307693
West Virginia,2013,Big 12,1427.0,-0.144,10.6
Wyoming,2013,Mountain West,1196.0,-10.2,-5.908333333333333
Air Force,2014,Mountain West,1432.0,-2.584,-5.466666666666667
Akron,2014,Mid-American,1221.0,-10.663,-9.507692307692308
Alabama,2014,SEC,2130.0,26.766,17.957142857142856
Appalachian State,2014,Sun Belt,1475.0,-5.62,-9.99090909090909
Arizona,2014,Pac-12,1723.0,14.145,9.541666666666666
Arizona State,2014,Pac-12,1775.0,14.153,9.541666666666666
Arkansas,2014,SEC,1862.0,17.506,17.957142857142856
Arkansas State,2014,Sun Belt,1460.0,-2.726,-9.99090909090909
Army,2014,FBS Independents,1185.0,-14.056,1.875
Auburn,2014,SEC,1848.0,21.898,17.957142857142856
Ball State,2014,Mid-American,1415.0,-8.364,-9.507692307692308
Baylor,2014,Big 12,2061.0,23.891,9.59
Boise State,2014,Mountain West,1824.0,10.739,-5.466666666666667
Boston College,2014,ACC,1546.0,6.034,8.907142857142857
Bowling Green,2014,Mid-American,1319.0,-9.42,-9.507692307692308
Buffalo,2014,Mid-American,1353.0,-10.921,-9.507692307692308
BYU,2014,FBS Independents,1603.0,7.53,1.875
California,2014,Pac-12,1376.0,6.509,9.541666666666666
Central Michigan,2014,Mid-American,1375.0,-4.965,-9.507692307692308
Clemson,2014,ACC,1902.0,16.461,8.907142857142857
Colorado,2014,Pac-12,1286.0,-1.022,9.541666666666666
Colorado State,2014,Mountain West,1552.0,2.414,-5.466666666666667
Duke,2014,ACC,1608.0,7.678,8.907142857142857
Eastern Michigan,2014,Mid-American,791.0,-25.824,-9.507692307692308
Florida,2014,SEC,1741.0,15.671,17.957142857142856
Florida Atlantic,2014,Conference USA,1216.0,-11.982,-6.423076923076923
Florida International,2014,Conference USA,1231.0,-12.247,-6.423076923076923
Florida State,2014,ACC,1919.0,19.025,8.907142857142857
Fresno State,2014,Mountain West,1331.0,-5.318,-5.466666666666667
Georgia,2014,SEC,2034.0,24.267,17.957142857142856
Georgia Southern,2014,Sun Belt,1486.0,0.078,-9.99090909090909
Georgia State,2014,Sun Belt,888.0,-23.469,-9.99090909090909
Georgia Tech,2014,ACC,1921.0,15.985,8.907142857142857
Hawai'i,2014,Mountain West,1271.0,-9.087,-5.466666666666667
Illinois,2014,Big Ten,1359.0,-2.476,8.321428571428571
Indiana,2014,Big Ten,1370.0,-0.816,8.321428571428571
Iowa,2014,Big Ten,1599.0,6.368,8.321428571428571
Iowa State,2014,Big 12,1256.0,-3.897,9.59
Kansas,2014,Big 12,1215.0,-6.517,9.59
Kansas State,2014,Big 12,1873.0,17.279,9.59
Kent State,2014,Mid-American,1159.0,-14.665,-9.507692307692308
Kentucky,2014,SEC,1351.0,3.258,17.957142857142856
Louisiana,2014,Sun Belt,1430.0,-2.553,-9.99090909090909
Louisiana Monroe,2014,Sun Belt,1218.0,-9.928,-9.99090909090909
Louisiana Tech,2014,Conference USA,1802.0,4.971,-6.423076923076923
Louisville,2014,ACC,1773.0,10.966,8.907142857142857
LSU,2014,SEC,1816.0,18.998,17.957142857142856
Marshall,2014,Conference USA,1874.0,13.025,-6.423076923076923
Maryland,2014,Big Ten,1493.0,5.77,8.321428571428571
Miami,2014,ACC,1634.0,10.774,8.907142857142857
Miami (OH),2014,Mid-American,1076.0,-15.917,-9.507692307692308
Michigan,2014,Big Ten,1579.0,7.222,8.321428571428571
Michigan State,2014,Big Ten,2025.0,23.051,8.321428571428571
Middle Tennessee,2014,Conference USA,1312.0,-6.881,-6.423076923076923
Minnesota,2014,Big Ten,1700.0,8.32,8.321428571428571
Mississippi State,2014,SEC,1889.0,20.133,17.957142857142856
Missouri,2014,SEC,1801.0,13.651,17.957142857142856
NC State,2014,ACC,1564.0,3.924,8.907142857142857
Nebraska,2014,Big Ten,1759.0,13.173,8.321428571428571
Nevada,2014,Mountain West,1414.0,-0.274,-5.466666666666667
New Mexico,2014,Mountain West,1206.0,-12.122,-5.466666666666667
New Mexico State,2014,Sun Belt,900.0,-21.765,-9.99090909090909
North Carolina,2014,ACC,1466.0,4.371,8.907142857142857
Northern Illinois,2014,Mid-American,1519.0,0.248,-9.507692307692308
North Texas,2014,Conference USA,1248.0,-12.816,-6.423076923076923
Northwestern,2014,Big Ten,1473.0,1.819,8.321428571428571
Notre Dame,2014,FBS Independents,1643.0,12.55,1.875
Ohio,2014,Mid-American,1231.0,-10.82,-9.507692307692308
Ohio State,2014,Big Ten,2299.0,25.734,8.321428571428571
Oklahoma,2014,Big 12,1746.0,18.901,9.59
Oklahoma State,2014,Big 12,1601.0,6.457,9.59
Old Dominion,2014,Conference USA,1192.0,-11.442,-6.423076923076923
Ole Miss,2014,SEC,1780.0,20.488,17.957142857142856
Oregon,2014,Pac-12,2154.0,28.344,9.541666666666666
Oregon State,2014,Pac-12,1438.0,3.205,9.541666666666666
Penn State,2014,Big Ten,1584.0,4.594,8.321428571428571
Pittsburgh,2014,ACC,1547.0,7.202,8.907142857142857
Purdue,2014,Big Ten,1275.0,-3.959,8.321428571428571
Rice,2014,Conference USA,1460.0,-3.211,-6.423076923076923
Rutgers,2014,Big Ten,1465.0,1.517,8.321428571428571
San Diego State,2014,Mountain West,1509.0,-2.034,-5.466666666666667
San José State,2014,Mountain West,1173.0,-11.723,-5.466666666666667
South Alabama,2014,Sun Belt,1307.0,-9.353,-9.99090909090909
South Carolina,2014,SEC,1719.0,11.433,17.957142857142856
Southern Mississippi,2014,Conference USA,1015.0,-14.949,-6.423076923076923
Stanford,2014,Pac-12,1871.0,19.186,9.541666666666666
Syracuse,2014,ACC,1390.0,-0.773,8.907142857142857
TCU,2014,Big 12,2194.0,26.11,9.59
Tennessee,2014,SEC,1670.0,12.329,17.957142857142856
Texas,2014,Big 12,1596.0,8.78,9.59
Texas A&M,2014,SEC,1692.0,14.96,17.957142857142856
Texas State,2014,Sun Belt,1319.0,-8.221,-9.99090909090909
Texas Tech,2014,Big 12,1358.0,2.113,9.59
Toledo,2014,Mid-American,1524.0,1.083,-9.507692307692308
Troy,2014,Sun Belt,1065.0,-19.383,-9.99090909090909
UCLA,2014,Pac-12,1785.0,19.205,9.541666666666666
UMass,2014,Mid-American,1110.0,-14.742,-9.507692307692308
UNLV,2014,Mountain West,1099.0,-17.372,-5.466666666666667
USC,2014,Pac-12,1870.0,19.155,9.541666666666666
Utah,2014,Pac-12,1655.0,13.507,9.541666666666666
Utah State,2014,Mountain West,1608.0,1.86,-5.466666666666667
UTEP,2014,Conference USA,1288.0,-9.189,-6.423076923076923
UT San Antonio,2014,Conference USA,1191.0,-10.428,-6.423076923076923
Vanderbilt,2014,SEC,1298.0,-8.228,17.957142857142856
Virginia,2014,ACC,1491.0,6.897,8.907142857142857
Virginia Tech,2014,ACC,1611.0,7.869,8.907142857142857
Wake Forest,2014,ACC,1237.0,-10.446,8.907142857142857
Washington,2014,Pac-12,1687.0,11.308,9.541666666666666
Washington State,2014,Pac-12,1382.0,2.771,9.541666666666666
Western Kentucky,2014,Conference USA,1531.0,-3.009,-6.423076923076923
Western Michigan,2014,Mid-American,1416.0,-2.169,-9.507692307692308
West Virginia,2014,Big 12,1635.0,12.138,9.59
Wisconsin,2014,Big Ten,1847.0,17.072,8.321428571428571
Wyoming,2014,Mountain West,1191.0,-11.516,-5.466666666666667
Air Force,2015,Mountain West,1533.0,1.846,-4.766666666666667
Akron,2015,Mid-American,1324.0,-6.536,-5.046153846153846
Alabama,2015,SEC,2197.0,27.35,13.835714285714285
Appalachian State,2015,Sun Belt,1635.0,5.38,-6.954545454545454
Arizona,2015,Pac-12,1494.0,5.557,9.325
Arizona State,2015,Pac-12,1669.0,9.667,9.325
Arkansas,2015,SEC,1862.0,17.389,13.835714285714285
Arkansas State,2015,Sun Belt,1515.0,1.553,-6.954545454545454
Army,2015,FBS Independents,1222.0,-14.919,3.1333333333333333
Auburn,2015,SEC,1734.0,12.975,13.835714285714285
Ball State,2015,Mid-American,1122.0,-11.819,-5.046153846153846
Baylor,2015,Big 12,1991.0,21.846,7.32
Boise State,2015,Mountain West,1840.0,12.164,-4.766666666666667
Boston College,2015,ACC,1468.0,1.501,9.542857142857143
Bowling Green,2015,Mid-American,1661.0,7.151,-5.046153846153846
Buffalo,2015,Mid-American,1252.0,-10.609,-5.046153846153846
BYU,2015,FBS Independents,1680.0,9.004,3.1333333333333333
California,2015,Pac-12,1607.0,13.95,9.325
Central Michigan,2015,Mid-American,1473.0,-1.872,-5.046153846153846
Charlotte,2015,Conference USA,951.0,-21.441,-9.253846153846153
Cincinnati,2015,American Athletic,1469.0,1.442,-1.7583333333333333
Clemson,2015,ACC,2047.0,22.273,9.542857142857143
Colorado,2015,Pac-12,1366.0,-0.74,9.325
Colorado State,2015,Mountain West,1435.0,-5.913,-4.766666666666667
Connecticut,2015,American Athletic,1354.0,-5.834,-1.7583333333333333
Duke,2015,ACC,1532.0,5.102,9.542857142857143
East Carolina,2015,American Athletic,1539.0,-0.264,-1.7583333333333333
Eastern Michigan,2015,Mid-American,945.0,-20.223,-5.046153846153846
Florida,2015,SEC,1699.0,13.162,13.835714285714285
Florida Atlantic,2015,Conference USA,1288.0,-9.564,-9.253846153846153
Florida International,2015,Conference USA,1154.0,-10.626,-9.253846153846153
Florida State,2015,ACC,1909.0,18.007,9.542857142857143
Fresno State,2015,Mountain West,1087.0,-15.727,-4.766666666666667
Georgia,2015,SEC,1797.0,15.885,13.835714285714285
Georgia Southern,2015,Sun Belt,1635.0,5.42,-6.954545454545454
Georgia State,2015,Sun Belt,1344.0,-10.45,-6.954545454545454
Georgia Tech,2015,ACC,1632.0,10.211,9.542857142857143
Hawai'i,2015,Mountain West,949.0,-17.484,-4.766666666666667
Houston,2015,American Athletic,1920.0,10.851,-1.7583333333333333
Illinois,2015,Big Ten,1437.0,3.104,7.421428571428572
Indiana,2015,Big Ten,1489.0,1.713,7.421428571428572
Iowa,2015,Big Ten,1712.0,11.803,7.421428571428572
Iowa State,2015,Big 12,1393.0,0.639,7.32
Kansas,2015,Big 12,924.0,-18.872,7.32
Kansas State,2015,Big 12,1531.0,5.24,7.32
Kent State,2015,Mid-American,1013.0,-16.593,-5.046153846153846
Kentucky,2015,SEC,1460.0,2.117,13.835714285714285
Louisiana,2015,Sun Belt,1199.0,-12.271,-6.954545454545454
Louisiana Monroe,2015,Sun Belt,956.0,-16.884,-6.954545454545454
Louisiana Tech,2015,Conference USA,1664.0,4.741,-9.253846153846153
Louisville,2015,ACC,1671.0,10.274,9.542857142857143
LSU,2015,SEC,1817.0,20.581,13.835714285714285
Marshall,2015,Conference USA,1724.0,2.563,-9.253846153846153
Maryland,2015,Big Ten,1348.0,-1.462,7.421428571428572
Memphis,2015,American Athletic,1681.0,7.745,-1.7583333333333333
Miami,2015,ACC,1498.0,6.358,9.542857142857143
Miami (OH),2015,Mid-American,1042.0,-18.505,-5.046153846153846
Michigan,2015,Big Ten,1880.0,17.226,7.421428571428572
Michigan State,2015,Big Ten,1848.0,16.558,7.421428571428572
Middle Tennessee,2015,Conference USA,1521.0,0.7,-9.253846153846153
Minnesota,2015,Big Ten,1591.0,3.36,7.421428571428572
Mississippi State,2015,SEC,1841.0,16.677,13.835714285714285
Missouri,2015,SEC,1557.0,5.373,13.835714285714285
Navy,2015,American Athletic,1739.0,8.44,-1.7583333333333333
NC State,2015,ACC,1609.0,8.833,9.542857142857143
Nebraska,2015,Big Ten,1702.0,9.375,7.421428571428572
Nevada,2015,Mountain West,1390.0,-8.091,-4.766666666666667
New Mexico,2015,Mountain West,1342.0,-7.894,-4.766666666666667
New Mexico State,2015,Sun Belt,936.0,-18.282,-6.954545454545454
North Carolina,2015,ACC,1830.0,16.992,9.542857142857143
Northern Illinois,2015,Mid-American,1433.0,-1.05,-5.046153846153846
North Texas,2015,Conference USA,1013.0,-21.401,-9.253846153846153
Northwestern,2015,Big Ten,1446.0,4.814,7.421428571428572
Notre Dame,2015,FBS Independents,1784.0,19.138,3.1333333333333333
Ohio,2015,Mid-American,1335.0,-4.216,-5.046153846153846
Ohio State,2015,Big Ten,2120.0,24.851,7.421428571428572
Oklahoma,2015,Big 12,2078.0,26.244,7.32
Oklahoma State,2015,Big 12,1707.0,14.197,7.32
Old Dominion,2015,Conference USA,1105.0,-17.956,-9.253846153846153
Ole Miss,2015,SEC,1937.0,23.601,13.835714285714285
Oregon,2015,Pac-12,1793.0,14.415,9.325
Oregon State,2015,Pac-12,1146.0,-8.024,9.325
Penn State,2015,Big Ten,1585.0,6.896,7.421428571428572
Pittsburgh,2015,ACC,1576.0,8.389,9.542857142857143
Purdue,2015,Big Ten,1218.0,-4.329,7.421428571428572
Rice,2015,Conference USA,1131.0,-13.994,-9.253846153846153
Rutgers,2015,Big Ten,1308.0,-4.898,7.421428571428572
San Diego State,2015,Mountain West,1806.0,6.341,-4.766666666666667
San José State,2015,Mountain West,1324.0,-4.118,-4.766666666666667
SMU,2015,American Athletic,1036.0,-14.187,-1.7583333333333333
South Alabama,2015,Sun Belt,1115.0,-16.826,-6.954545454545454
South Carolina,2015,SEC,1579.0,4.283,13.835714285714285
Southern Mississippi,2015,Conference USA,1686.0,3.57,-9.253846153846153
South Florida,2015,American Athletic,1693.0,5.334,-1.7583333333333333
Stanford,2015,Pac-12,2014.0,21.382,9.325
Syracuse,2015,ACC,1371.0,0.071,9.542857142857143
TCU,2015,Big 12,1947.0,20.514,7.32
Temple,2015,American Athletic,1635.0,6.404,-1.7583333333333333
Tennessee,2015,SEC,1860.0,20.53,13.835714285714285
Texas,2015,Big 12,1532.0,6.747,7.32
Texas A&M,2015,SEC,1674.0,14.64,13.835714285714285
Texas State,2015,Sun Belt,1017.0,-15.094,-6.954545454545454
Texas Tech,2015,Big 12,1523.0,8.761,7.32
Toledo,2015,Mid-American,1730.0,8.618,-5.046153846153846
Troy,2015,Sun Belt,1311.0,-7.902,-6.954545454545454
Tulane,2015,American Athletic,1058.0,-16.006,-1.7583333333333333
Tulsa,2015,American Athletic,1332.0,-5.262,-1.7583333333333333
UCF,2015,American Athletic,1033.0,-18.96,-1.7583333333333333
UCLA,2015,Pac-12,1722.0,14.684,9.325
UNLV,2015,Mountain West,1158.0,-11.741,-4.766666666666667
USC,2015,Pac-12,1794.0,18.785,9.325
Utah,2015,Pac-12,1764.0,13.42,9.325
Utah State,2015,Mountain West,1547.0,1.327,-4.766666666666667
UTEP,2015,Conference USA,1071.0,-18.197,-9.253846153846153
UT San Antonio,2015,Conference USA,1113.0,-16.657,-9.253846153846153
Vanderbilt,2015,SEC,1336.0,1.546,13.835714285714285
Virginia,2015,ACC,1441.0,2.052,9.542857142857143
Virginia Tech,2015,ACC,1643.0,9.484,9.542857142857143
Wake Forest,2015,ACC,1309.0,-3.393,9.542857142857143
Washington,2015,Pac-12,1874.0,13.31,9.325
Washington State,2015,Pac-12,1574.0,7.083,9.325
Western Kentucky,2015,Conference USA,1871.0,12.178,-9.253846153846153
Western Michigan,2015,Mid-American,1641.0,5.412,-5.046153846153846
West Virginia,2015,Big 12,1764.0,14.447,7.32
Wisconsin,2015,Big Ten,1800.0,13.875,7.421428571428572
Wyoming,2015,Mountain West,1120.0,-16.028,-4.766666666666667
Air Force,2016,Mountain West,1593.0,0.881,-4.683333333333334
Akron,2016,Mid-American,1214.0,-11.887,-4.258333333333333
Alabama,2016,SEC,2331.0,31.19,10.157142857142857
Appalachian State,2016,Sun Belt,1630.0,4.559,-8.872727272727273
Arizona,2016,Pac-12,1243.0,-2.5,7.966666666666667
Arizona State,2016,Pac-12,1366.0,0.374,7.966666666666667
Arkansas,2016,SEC,1614.0,6.26,10.157142857142857
Arkansas State,2016,Sun Belt,1567.0,-2.578,-8.872727272727273
Army,2016,FBS Independents,1354.0,-2.004,-0.375
Auburn,2016,SEC,1904.0,19.319,10.157142857142857
Ball State,2016,Mid-American,1230.0,-9.796,-4.258333333333333
Baylor,2016,Big 12,1607.0,8.9,8.34
Boise State,2016,Mountain West,1664.0,9.473,-4.683333333333334
Boston College,2016,ACC,1367.0,-1.149,10.292857142857143
Bowling Green,2016,Mid-American,1272.0,-14.666,-4.258333333333333
Buffalo,2016,Mid-American,1080.0,-19.719,-4.258333333333333
BYU,2016,FBS Independents,1730.0,9.8,-0.375
California,2016,Pac-12,1531.0,4.39,7.966666666666667
Central Michigan,2016,Mid-American,1231.0,-5.665,-4.258333333333333
Charlotte,2016,Conference USA,1040.0,-17.946,-8.338461538461539
Cincinnati,2016,American Athletic,1309.0,-5.462,0.15833333333333333
Clemson,2016,ACC,2215.0,27.625,10.292857142857143
Colorado,2016,Pac-12,1649.0,14.19,7.966666666666667
Colorado State,2016,Mountain West,1569.0,-0.848,-4.683333333333334
Connecticut,2016,American Athletic,1102.0,-12.154,0.15833333333333333
Duke,2016,ACC,1383.0,1.641,10.292857142857143
East Carolina,2016,American Athletic,1260.0,-8.581,0.15833333333333333
Eastern Michigan,2016,Mid-American,1207.0,-9.903,-4.258333333333333
Florida,2016,SEC,1748.0,13.83,10.157142857142857
Florida Atlantic,2016,Conference USA,1071.0,-16.104,-8.338461538461539
Florida International,2016,Conference USA,1158.0,-16.557,-8.338461538461539
Florida State,2016,ACC,1856.0,22.195,10.292857142857143
Fresno State,2016,Mountain West,1046.0,-16.106,-4.683333333333334
Georgia,2016,SEC,1658.0,8.064,10.157142857142857
Georgia Southern,2016,Sun Belt,1409.0,-6.031,-8.872727272727273
Georgia State,2016,Sun Belt,1177.0,-12.072,-8.872727272727273
Georgia Tech,2016,ACC,1634.0,7.405,10.292857142857143
Hawai'i,2016,Mountain West,1161.0,-12.121,-4.683333333333334
Houston,2016,American Athletic,1746.0,8.928,0.15833333333333333
Illinois,2016,Big Ten,1226.0,-6.049,6.914285714285715
Indiana,2016,Big Ten,1516.0,0.906,6.914285714285715
Iowa,2016,Big Ten,1661.0,10.714,6.914285714285715
Iowa State,2016,Big 12,1542.0,1.143,8.34
Kansas,2016,Big 12,1038.0,-9.826,8.34
Kansas State,2016,Big 12,1754.0,12.072,8.34
Kent State,2016,Mid-American,1147.0,-11.888,-4.258333333333333
Kentucky,2016,SEC,1486.0,2.312,10.157142857142857
Louisiana,2016,Sun Belt,1313.0,-10.499,-8.872727272727273
Louisiana Monroe,2016,Sun Belt,963.0,-18.768,-8.872727272727273
Louisiana Tech,2016,Conference USA,1654.0,3.978,-8.338461538461539
Louisville,2016,ACC,1872.0,21.55,10.292857142857143
LSU,2016,SEC,1972.0,22.875,10.157142857142857
Marshall,2016,Conference USA,1200.0,-12.832,-8.338461538461539
Maryland,2016,Big Ten,1304.0,-2.305,6.914285714285715
Memphis,2016,American Athletic,1707.0,5.897,0.15833333333333333
Miami,2016,ACC,1797.0,17.177,10.292857142857143
Miami (OH),2016,Mid-American,1312.0,-8.221,-4.258333333333333
Michigan,2016,Big Ten,2133.0,26.98,6.914285714285715
Michigan State,2016,Big Ten,1608.0,3.916,6.914285714285715
Middle Tennessee,2016,Conference USA,1301.0,-5.004,-8.338461538461539
Minnesota,2016,Big Ten,1652.0,7.153,6.914285714285715
Mississippi State,2016,SEC,1668.0,6.202,10.157142857142857
Missouri,2016,SEC,1404.0,2.059,10.157142857142857
Navy,2016,American Athletic,1698.0,4.435,0.15833333333333333
NC State,2016,ACC,1624.0,8.936,10.292857142857143
Nebraska,2016,Big Ten,1529.0,7.038,6.914285714285715
Nevada,2016,Mountain West,1359.0,-8.868,-4.683333333333334
New Mexico,2016,Mountain West,1444.0,-3.435,-4.683333333333334
New Mexico State,2016,Sun Belt,1040.0,-17.564,-8.872727272727273
North Carolina,2016,ACC,1749.0,14.033,10.292857142857143
Northern Illinois,2016,Mid-American,1468.0,-3.421,-4.258333333333333
North Texas,2016,Conference USA,1127.0,-14.83,-8.338461538461539
Northwestern,2016,Big Ten,1616.0,8.0,6.914285714285715
Notre Dame,2016,FBS Independents,1725.0,9.712,-0.375
Ohio,2016,Mid-American,1422.0,-5.252,-4.258333333333333
Ohio State,2016,Big Ten,2199.0,26.245,6.914285714285715
Oklahoma,2016,Big 12,2047.0,22.541,8.34
Oklahoma State,2016,Big 12,1841.0,17.126,8.34
Old Dominion,2016,Conference USA,1405.0,-4.554,-8.338461538461539
Ole Miss,2016,SEC,1600.0,11.138,10.157142857142857
Oregon,2016,Pac-12,1483.0,3.563,7.966666666666667
Oregon State,2016,Pac-12,1369.0,-0.041,7.966666666666667
Penn State,2016,Big Ten,1869.0,17.579,6.914285714285715
Pittsburgh,2016,ACC,1674.0,12.733,10.292857142857143
Purdue,2016,Big Ten,1162.0,-8.762,6.914285714285715
Rice,2016,Conference USA,1109.0,-16.142,-8.338461538461539
Rutgers,2016,Big Ten,1004.0,-12.224,6.914285714285715
San Diego State,2016,Mountain West,1756.0,7.496,-4.683333333333334
San José State,2016,Mountain West,1150.0,-9.751,-4.683333333333334
SMU,2016,American Athletic,1274.0,-5.962,0.15833333333333333
South Alabama,2016,Sun Belt,1245.0,-12.508,-8.872727272727273
South Carolina,2016,SEC,1428.0,-0.306,10.157142857142857
Southern Mississippi,2016,Conference USA,1401.0,-5.452,-8.338461538461539
South Florida,2016,American Athletic,1691.0,9.268,0.15833333333333333
Stanford,2016,Pac-12,1750.0,14.263,7.966666666666667
Syracuse,2016,ACC,1278.0,-2.668,10.292857142857143
TCU,2016,Big 12,1703.0,9.567,8.34
Temple,2016,American Athletic,1739.0,8.614,0.15833333333333333
Tennessee,2016,SEC,1729.0,15.461,10.157142857142857
Texas,2016,Big 12,1560.0,7.831,8.34
Texas A&M,2016,SEC,1727.0,15.505,10.157142857142857
Texas State,2016,Sun Belt,801.0,-26.084,-8.872727272727273
Texas Tech,2016,Big 12,1416.0,4.703,8.34
Toledo,2016,Mid-American,1660.0,4.462,-4.258333333333333
Troy,2016,Sun Belt,1461.0,0.409,-8.872727272727273
Tulane,2016,American Athletic,1222.0,-7.393,0.15833333333333333
Tulsa,2016,American Athletic,1748.0,6.958,0.15833333333333333
UCF,2016,American Athletic,1419.0,-0.347,0.15833333333333333
UCLA,2016,Pac-12,1532.0,7.897,7.966666666666667
UMass,2016,FBS Independents,1095.0,-15.513,-0.375
UNLV,2016,Mountain West,1121.0,-11.099,-4.683333333333334
USC,2016,Pac-12,1948.0,20.051,7.966666666666667
Utah,2016,Pac-12,1704.0,9.669,7.966666666666667
Utah State,2016,Mountain West,1329.0,-5.259,-4.683333333333334
UTEP,2016,Conference USA,1092.0,-17.574,-8.338461538461539
UT San Antonio,2016,Conference USA,1377.0,-9.523,-8.338461538461539
Vanderbilt,2016,SEC,1510.0,4.536,10.157142857142857
Virginia,2016,ACC,1350.0,-4.218,10.292857142857143
Virginia Tech,2016,ACC,1864.0,13.726,10.292857142857143
Wake Forest,2016,ACC,1463.0,2.17,10.292857142857143
Washington,2016,Pac-12,2120.0,25.212,7.966666666666667
Washington State,2016,Pac-12,1812.0,14.138,7.966666666666667
Western Kentucky,2016,Conference USA,1975.0,11.427,-8.338461538461539
Western Michigan,2016,Mid-American,1842.0,12.684,-4.258333333333333
West Virginia,2016,Big 12,1728.0,13.47,8.34
Wisconsin,2016,Big Ten,1918.0,17.827,6.914285714285715
Wyoming,2016,Mountain West,1393.0,-1.915,-4.683333333333334
Air Force,2017,Mountain West,1422.0,-6.875,-7.083333333333333
Akron,2017,Mid-American,1165.0,-12.316,-7.391666666666667
Alabama,2017,SEC,2229.0,28.419,12.757142857142856
Appalachian State,2017,Sun Belt,1728.0,0.883,-9.9
Arizona,2017,Pac-12,1519.0,5.312,6.958333333333333
Arizona State,2017,Pac-12,1497.0,4.055,6.958333333333333
Arkansas,2017,SEC,1441.0,-1.352,12.757142857142856
Arkansas State,2017,Sun Belt,1596.0,-3.705,-9.9
Army,2017,FBS Independents,1533.0,0.656,-0.4
Auburn,2017,SEC,1994.0,21.595,12.757142857142856
Ball State,2017,Mid-American,857.0,-26.469,-7.391666666666667
