team,year,conference,elo,fpi,conference_rating
BYU,2006,Mountain West,1970.0,17.306,1.011111111111111
California,2006,Pac-10,1934.0,19.293,8.51
Central Michigan,2006,Mid-American,1557.0,0.95,-11.166666666666666
Cincinnati,2006,Big East,1551.0,4.399,11.75
Clemson,2006,ACC,1836.0,14.143,6.833333333333333
Colorado,2006,Big 12,1516.0,-2.847,10.033333333333333
Colorado State,2006,Mountain West,1310.0,-6.794,1.011111111111111
Connecticut,2006,Big East,1410.0,-2.374,11.75
Duke,2006,ACC,1124.0,-13.681,6.833333333333333
East Carolina,2006,Conference USA,1425.0,-1.668,-6.133333333333333
Eastern Michigan,2006,Mid-American,1125.0,-14.917,-11.166666666666666
Florida,2006,SEC,1972.0,20.277,13.25
Florida Atlantic,2006,Sun Belt,1129.0,-15.231,-19.3625
Florida International,2006,Sun Belt,943.0,-19.588,-19.3625
Florida State,2006,ACC,1707.0,9.905,6.833333333333333
Fresno State,2006,Western Athletic,1438.0,-5.041,-7.266666666666667
Georgia,2006,SEC,1841.0,10.157,13.25
Georgia Tech,2006,ACC,1662.0,8.283,6.833333333333333
Hawai'i,2006,Western Athletic,1870.0,11.441,-7.266666666666667
Houston,2006,Conference USA,1597.0,4.337,-6.133333333333333
Illinois,2006,Big Ten,1297.0,-2.949,7.6454545454545455
Indiana,2006,Big Ten,1304.0,-3.406,7.6454545454545455
Iowa,2006,Big Ten,1676.0,9.572,7.6454545454545455
Iowa State,2006,Big 12,1396.0,-3.425,10.033333333333333
Kansas,2006,Big 12,1603.0,2.362,10.033333333333333
Kansas State,2006,Big 12,1501.0,2.55,10.033333333333333
Kent State,2006,Mid-American,1251.0,-8.568,-11.166666666666666
Kentucky,2006,SEC,1469.0,2.062,13.25
Louisiana,2006,Sun Belt,1165.0,-12.403,-19.3625
Louisiana Monroe,2006,Sun Belt,1307.0,-9.304,-19.3625
Louisiana Tech,2006,Western Athletic,986.0,-20.984,-7.266666666666667
Louisville,2006,Big East,2041.0,20.68,11.75
LSU,2006,SEC,2078.0,22.545,13.25
Marshall,2006,Conference USA,1353.0,-5.806,-6.133333333333333
Maryland,2006,ACC,1560.0,3.049,6.833333333333333
Memphis,2006,Conference USA,1325.0,-10.065,-6.133333333333333
