name,team,year,games,wins,losses
Wally English,Tulane,1983,11,4,7
Wally English,Tulane,1984,11,3,8
Fred Enke,Arizona,1931,9,3,5
Dan Enos,Central Michigan,2010,12,3,9
Dan Enos,Central Michigan,2011,12,3,9
Dan Enos,Central Michigan,2012,13,7,6
Dan Enos,Central Michigan,2013,12,6,6
Dan Enos,Central Michigan,2014,13,7,6
Dick Enright,Oregon,1972,11,4,7
Dick Enright,Oregon,1973,11,2,9
Rex Enright,South Carolina,1938,11,6,4
Rex Enright,South Carolina,1939,10,3,6
Rex Enright,South Carolina,1940,9,3,6
Rex Enright,South Carolina,1941,9,4,4
Rex Enright,South Carolina,1942,9,1,7
Rex Enright,Georgia Pre-Flight,1943,6,5,1
Rex Enright,South Carolina,1946,8,5,3
Rex Enright,South Carolina,1947,9,6,2
Rex Enright,South Carolina,1948,8,3,5
Rex Enright,South Carolina,1949,10,4,6
Rex Enright,South Carolina,1950,9,3,4
Rex Enright,South Carolina,1951,9,5,4
Rex Enright,South Carolina,1952,10,5,5
Rex Enright,South Carolina,1953,10,7,3
Rex Enright,South Carolina,1954,10,6,4
Rex Enright,South Carolina,1955,9,3,6
Eddie Erdelatz,Navy,1950,9,3,6
Eddie Erdelatz,Navy,1951,9,2,6
Eddie Erdelatz,Navy,1952,9,6,2
Eddie Erdelatz,Navy,1953,9,4,3
Eddie Erdelatz,Navy,1954,10,8,2
Eddie Erdelatz,Navy,1955,9,6,2
Eddie Erdelatz,Navy,1956,9,6,1
Eddie Erdelatz,Navy,1957,11,9,1
Eddie Erdelatz,Navy,1958,9,6,3
Dennis Erickson,Wyoming,1986,12,6,6
Dennis Erickson,Washington State,1987,11,3,7
Dennis Erickson,Washington State,1988,12,9,3
Dennis Erickson,Miami,1989,12,11,1
Dennis Erickson,Miami,1990,12,10,2
Dennis Erickson,Miami,1991,12,12,0
Dennis Erickson,Miami,1992,12,11,1
Dennis Erickson,Miami,1993,12,9,3
Dennis Erickson,Miami,1994,12,10,2
Dennis Erickson,Oregon State,1999,12,7,5
Dennis Erickson,Oregon State,2000,12,11,1
Dennis Erickson,Oregon State,2001,11,5,6
Dennis Erickson,Oregon State,2002,13,8,5
Dennis Erickson,Idaho,2006,12,4,8
Dennis Erickson,Arizona State,2007,13,10,3
Dennis Erickson,Arizona State,2008,12,5,7
Dennis Erickson,Arizona State,2009,12,4,8
Dennis Erickson,Arizona State,2010,12,6,6
Dennis Erickson,Arizona State,2011,13,6,7
Bob Evans,Colorado,1916,7,1,5
Bob Evans,Colorado,1917,8,6,2
Bob Evans,Stanford,1919,7,4,3
Peyton Evans,Virginia,1916,9,4,5
Forest Evashevski,Washington State,1950,9,4,3
Forest Evashevski,Washington State,1951,10,7,3
Forest Evashevski,Iowa,1952,9,2,7
Forest Evashevski,Iowa,1953,9,5,3
Forest Evashevski,Iowa,1954,9,5,4
Forest Evashevski,Iowa,1955,9,3,5
Forest Evashevski,Iowa,1956,10,9,1
Forest Evashevski,Iowa,1957,9,7,1
Forest Evashevski,Iowa,1958,10,8,1
Forest Evashevski,Iowa,1959,9,5,4
Forest Evashevski,Iowa,1960,9,8,1
A.A. Ewing,Northwestern,1894,9,4,5
Leon Excelby,Wyoming,1912,9,2,7
Albert Exendine,Washington State,1923,7,2,4
Albert Exendine,Washington State,1924,8,1,5
Albert Exendine,Washington State,1925,8,3,4
Albert Exendine,Oklahoma State,1934,10,4,5
Albert Exendine,Oklahoma State,1935,10,3,7
Jack Faber,Maryland,1935,11,7,2
Jack Faber,Maryland,1940,9,2,6
Jack Faber,Maryland,1941,9,3,5
Chuck Fairbanks,Oklahoma,1967,11,10,1
Chuck Fairbanks,Oklahoma,1968,11,7,4
Chuck Fairbanks,Oklahoma,1969,10,6,4
Chuck Fairbanks,Oklahoma,1970,12,7,4
Chuck Fairbanks,Oklahoma,1971,12,11,1
Chuck Fairbanks,Oklahoma,1972,12,11,1
Chuck Fairbanks,Colorado,1979,11,3,8
Chuck Fairbanks,Colorado,1980,11,1,10
Chuck Fairbanks,Colorado,1981,11,3,8
Steve Fairchild,Colorado State,2008,13,7,6
Steve Fairchild,Colorado State,2009,12,3,9
Steve Fairchild,Colorado State,2010,12,3,9
Steve Fairchild,Colorado State,2011,12,3,9
Don Fambrough,Kansas,1971,11,4,7
Don Fambrough,Kansas,1972,11,4,7
Don Fambrough,Kansas,1973,12,7,4
Don Fambrough,Kansas,1974,11,4,7
Don Fambrough,Kansas,1979,11,3,8
Don Fambrough,Kansas,1980,11,4,5
Don Fambrough,Kansas,1981,12,8,4
Don Fambrough,Kansas,1982,11,2,7
James Faragher,Notre Dame,1902,9,6,2
Gus Farwick,Arizona,1932,9,4,5
Jim Fassel,Utah,1985,12,8,4
Jim Fassel,Utah,1986,11,2,9
Jim Fassel,Utah,1987,12,5,7
Jim Fassel,Utah,1988,11,6,5
Jim Fassel,Utah,1989,12,4,8
Russ Faulkinberry,Louisiana,1973,10,0,10
Everett Faunce,Utah State,1955,10,4,6
Everett Faunce,Utah State,1956,10,6,4
Everett Faunce,Utah State,1957,10,2,7
Everett Faunce,Utah State,1958,10,3,7
Don Faurot,Missouri,1935,9,3,3
Don Faurot,Missouri,1936,9,6,2
Don Faurot,Missouri,1937,10,3,6
Don Faurot,Missouri,1938,9,6,3
Don Faurot,Missouri,1939,10,8,2
Don Faurot,Missouri,1940,9,6,3
Don Faurot,Missouri,1941,10,8,2
Don Faurot,Missouri,1942,12,8,3
Don Faurot,Iowa Pre-Flight,1943,10,9,1
Don Faurot,Missouri,1946,10,5,4
Don Faurot,Missouri,1947,10,6,4
Don Faurot,Missouri,1948,11,8,3
Don Faurot,Missouri,1949,11,7,4
Don Faurot,Missouri,1950,10,4,5
Don Faurot,Missouri,1951,10,2,8
Don Faurot,Missouri,1952,10,5,5
Don Faurot,Missouri,1953,10,6,4
Don Faurot,Missouri,1954,10,4,5
Don Faurot,Missouri,1955,10,1,9
Don Faurot,Missouri,1956,10,4,5
Gerry Faust,Notre Dame,1981,11,5,6
Gerry Faust,Notre Dame,1982,11,6,4
Gerry Faust,Notre Dame,1983,12,7,5
Gerry Faust,Notre Dame,1984,12,7,5
Gerry Faust,Notre Dame,1985,11,5,6
Gerry Faust,Akron,1987,11,4,7
Gerry Faust,Akron,1988,11,5,6
Gerry Faust,Akron,1989,11,6,4
Gerry Faust,Akron,1990,11,3,7
Gerry Faust,Akron,1991,11,5,6
Gerry Faust,Akron,1992,11,7,3
Gerry Faust,Akron,1993,11,5,6
Gerry Faust,Akron,1994,11,1,10
Foge Fazio,Pittsburgh,1982,12,9,3
Foge Fazio,Pittsburgh,1983,12,8,3
Foge Fazio,Pittsburgh,1984,11,3,7
Foge Fazio,Pittsburgh,1985,11,5,5
Beattie Feathers,NC State,1944,9,7,2
Beattie Feathers,NC State,1945,9,3,6
Beattie Feathers,NC State,1946,11,8,3
Beattie Feathers,NC State,1947,9,5,3
Beattie Feathers,NC State,1948,10,3,6
Beattie Feathers,NC State,1949,10,3,7
Beattie Feathers,NC State,1950,10,5,4
Beattie Feathers,NC State,1951,10,3,7
Larry Fedora,Southern Mississippi,2008,13,7,6
Larry Fedora,Southern Mississippi,2009,13,7,6
Larry Fedora,Southern Mississippi,2010,13,8,5
Larry Fedora,Southern Mississippi,2011,14,12,2
Larry Fedora,North Carolina,2012,12,8,4
Larry Fedora,North Carolina,2013,13,7,6
Larry Fedora,North Carolina,2014,13,6,7
Larry Fedora,North Carolina,2015,14,11,3
Larry Fedora,North Carolina,2016,13,8,5
Larry Fedora,North Carolina,2017,12,3,9
Larry Fedora,North Carolina,2018,11,2,9
Rudy Feldman,New Mexico,1968,10,0,10
Rudy Feldman,New Mexico,1969,10,4,6
Rudy Feldman,New Mexico,1970,10,7,3
Rudy Feldman,New Mexico,1971,11,6,3
Rudy Feldman,New Mexico,1972,11,3,8
Rudy Feldman,New Mexico,1973,11,4,7
Rockey Felker,Mississippi State,1986,11,6,5
Rockey Felker,Mississippi State,1987,11,4,7
Rockey Felker,Mississippi State,1988,11,1,10
Rockey Felker,Mississippi State,1989,11,5,6
Rockey Felker,Mississippi State,1990,11,5,6
Tom Fennell,Penn State,1904,10,6,4
Tom Fennell,Penn State,1905,11,8,3
Tom Fennell,Penn State,1906,10,8,1
Tom Fennell,Penn State,1907,10,6,4
Tom Fennell,Penn State,1908,10,5,5
Gustave Ferbert,Michigan,1897,8,6,1
Gustave Ferbert,Michigan,1898,10,10,0
Gustave Ferbert,Michigan,1899,10,8,2
Kirk Ferentz,Iowa,1999,11,1,10
Kirk Ferentz,Iowa,2000,12,3,9
Kirk Ferentz,Iowa,2001,12,7,5
Kirk Ferentz,Iowa,2002,13,11,2
Kirk Ferentz,Iowa,2003,13,10,3
Kirk Ferentz,Iowa,2004,12,10,2
Kirk Ferentz,Iowa,2005,12,7,5
Kirk Ferentz,Iowa,2006,13,6,7
Kirk Ferentz,Iowa,2007,12,6,6
Kirk Ferentz,Iowa,2008,13,9,4
Kirk Ferentz,Iowa,2009,13,11,2
Kirk Ferentz,Iowa,2010,13,8,5
Kirk Ferentz,Iowa,2011,13,7,6
Kirk Ferentz,Iowa,2012,12,4,8
Kirk Ferentz,Iowa,2013,13,8,5
Kirk Ferentz,Iowa,2014,13,7,6
Kirk Ferentz,Iowa,2015,14,12,2
Kirk Ferentz,Iowa,2016,13,8,5
Kirk Ferentz,Iowa,2017,13,8,5
Kirk Ferentz,Iowa,2018,13,9,4
Kirk Ferentz,Iowa,2019,13,10,3
Kirk Ferentz,Iowa,2020,8,6,2
Kirk Ferentz,Iowa,2021,14,10,4
Kirk Ferentz,Iowa,2022,13,8,5
Kirk Ferentz,Iowa,2023,2,2,0
Craig Fertig,Oregon State,1976,12,2,10
Craig Fertig,Oregon State,1977,11,2,9
Craig Fertig,Oregon State,1978,11,3,7
Craig Fertig,Oregon State,1979,11,1,10
Wesley Fesler,Pittsburgh,1946,9,3,5
Wesley Fesler,Ohio State,1947,9,2,6
Wesley Fesler,Ohio State,1948,9,6,3
Wesley Fesler,Ohio State,1949,10,7,1
Wesley Fesler,Ohio State,1950,9,6,0
Wesley Fesler,Minnesota,1951,9,2,6
Wesley Fesler,Minnesota,1952,9,4,3
Wesley Fesler,Minnesota,1953,9,4,4
William Fetzer,Davidson,1915,8,4,3
William Fetzer,Davidson,1916,9,5,3
William Fetzer,Davidson,1917,10,6,4
William Fetzer,Davidson,1918,4,2,1
William Fetzer,NC State,1919,9,7,2
William Fetzer,NC State,1920,10,7,3
William Fetzer,North Carolina,1921,9,5,2
William Fetzer,North Carolina,1922,10,9,1
William Fetzer,North Carolina,1923,9,5,3
William Fetzer,North Carolina,1924,9,4,5
William Fetzer,North Carolina,1925,9,7,1
Luke Fickell,Ohio State,2011,13,6,7
Luke Fickell,Cincinnati,2017,12,4,8
Luke Fickell,Cincinnati,2018,13,11,2
Luke Fickell,Cincinnati,2019,14,11,3
Luke Fickell,Cincinnati,2020,10,9,1
Luke Fickell,Cincinnati,2021,14,13,1
Luke Fickell,Wisconsin,2022,1,1,0
Luke Fickell,Cincinnati,2022,12,9,3
Luke Fickell,Wisconsin,2023,2,1,1
Jedd Fisch,UCLA,2017,2,1,1
Jedd Fisch,Arizona,2021,12,1,11
Jedd Fisch,Arizona,2022,12,5,7
Jedd Fisch,Arizona,2023,2,1,1
Lud Fiser,Kansas State,1945,8,1,7
H.E. Fisher,Tennessee,1902,8,6,2
H.E. Fisher,Tennessee,1903,9,4,5
Jimbo Fisher,Florida State,2010,14,10,4
Jimbo Fisher,Florida State,2011,13,9,4
Jimbo Fisher,Florida State,2012,14,12,2
Jimbo Fisher,Florida State,2013,14,14,0
Jimbo Fisher,Florida State,2014,14,13,1
Jimbo Fisher,Florida State,2015,13,10,3
Jimbo Fisher,Florida State,2016,13,10,3
Jimbo Fisher,Florida State,2017,11,5,6
Jimbo Fisher,Texas A&M,2018,13,9,4
Jimbo Fisher,Texas A&M,2019,13,8,5
Jimbo Fisher,Texas A&M,2020,10,9,1
Jimbo Fisher,Texas A&M,2021,12,8,4
Jimbo Fisher,Texas A&M,2022,12,5,7
Jimbo Fisher,Texas A&M,2023,2,1,1
Todd Fitch,Vanderbilt,2020,1,0,1
Dennis Fitzgerald,Kent State,1975,11,4,7
Dennis Fitzgerald,Kent State,1976,12,8,4
Dennis Fitzgerald,Kent State,1977,11,6,5
Pat Fitzgerald,Northwestern,2006,12,4,8
Pat Fitzgerald,Northwestern,2007,12,6,6
Pat Fitzgerald,Northwestern,2008,13,9,4
Pat Fitzgerald,Northwestern,2009,13,8,5
Pat Fitzgerald,Northwestern,2010,13,7,6
Pat Fitzgerald,Northwestern,2011,13,6,7
Pat Fitzgerald,Northwestern,2012,13,10,3
Pat Fitzgerald,Northwestern,2013,12,5,7
Pat Fitzgerald,Northwestern,2014,12,5,7
Pat Fitzgerald,Northwestern,2015,13,10,3
Pat Fitzgerald,Northwestern,2016,13,7,6
Pat Fitzgerald,Northwestern,2017,13,10,3
Pat Fitzgerald,Northwestern,2018,14,9,5
Pat Fitzgerald,Northwestern,2019,12,3,9
Pat Fitzgerald,Northwestern,2020,9,7,2
Pat Fitzgerald,Northwestern,2021,12,3,9
Pat Fitzgerald,Northwestern,2022,0,0,0
Pat Fitzgerald,Northwestern,2023,2,1,1
Thomas Fitzpatrick,Utah,1919,7,5,2
Thomas Fitzpatrick,Utah,1920,7,1,5
Thomas Fitzpatrick,Utah,1921,6,3,2
Thomas Fitzpatrick,Utah,1922,8,7,1
Thomas Fitzpatrick,Utah,1923,7,4,3
Thomas Fitzpatrick,Utah,1924,8,3,4
P.J. Fleck,Western Michigan,2013,12,1,11
P.J. Fleck,Western Michigan,2014,13,8,5
P.J. Fleck,Western Michigan,2015,13,8,5
P.J. Fleck,Western Michigan,2016,14,13,1
P.J. Fleck,Minnesota,2017,12,5,7
P.J. Fleck,Minnesota,2018,13,7,6
P.J. Fleck,Minnesota,2019,13,11,2
P.J. Fleck,Minnesota,2020,7,3,4
P.J. Fleck,Minnesota,2021,13,9,4
P.J. Fleck,Minnesota,2022,13,9,4
P.J. Fleck,Minnesota,2023,2,2,0
J.A. Van Fleet,Florida,1923,9,6,1
J.A. Van Fleet,Florida,1924,10,6,2
Kyle Flood,Rutgers,2012,13,9,4
Kyle Flood,Rutgers,2013,13,6,7
Kyle Flood,Rutgers,2014,13,8,5
Kyle Flood,Rutgers,2015,12,4,8
Red Floyd,Auburn,1929,4,0,4
Dick Flynn,Central Michigan,1994,12,9,3
Dick Flynn,Central Michigan,1995,11,4,7
Dick Flynn,Central Michigan,1996,11,5,6
Dick Flynn,Central Michigan,1997,11,2,9
Dick Flynn,Central Michigan,1998,11,6,5
Dick Flynn,Central Michigan,1999,11,4,7
Hank Foldberg,Wichita State,1960,10,8,2
Hank Foldberg,Wichita State,1961,11,8,3
Hank Foldberg,Texas A&M,1962,10,3,7
Hank Foldberg,Texas A&M,1963,10,2,7
Hank Foldberg,Texas A&M,1964,10,1,9
Ed Foley,Temple,2018,1,0,1
Fred Folsom,Colorado,1902,6,5,1
Fred Folsom,Dartmouth,1903,10,9,1
Fred Folsom,Dartmouth,1904,8,7,0
Fred Folsom,Dartmouth,1905,10,7,1
Fred Folsom,Dartmouth,1906,10,6,3
Fred Folsom,Colorado,1908,7,5,2
Fred Folsom,Colorado,1909,6,6,0
Fred Folsom,Colorado,1910,6,6,0
Fred Folsom,Colorado,1911,6,6,0
Fred Folsom,Colorado,1912,9,6,3
Fred Folsom,Colorado,1913,7,5,1
Fred Folsom,Colorado,1914,6,5,1
Fred Folsom,Colorado,1915,7,1,6
Danny Ford,Clemson,1978,1,1,0
Danny Ford,Clemson,1979,12,8,4
Danny Ford,Clemson,1980,11,6,5
Danny Ford,Clemson,1981,12,12,0
Danny Ford,Clemson,1982,11,9,1
Danny Ford,Clemson,1983,11,9,1
Danny Ford,Clemson,1984,11,7,4
Danny Ford,Clemson,1985,12,6,6
Danny Ford,Clemson,1986,12,8,2
Danny Ford,Clemson,1987,12,10,2
Danny Ford,Clemson,1988,12,10,2
Danny Ford,Clemson,1989,12,10,2
Danny Ford,Arkansas,1993,11,5,5
Danny Ford,Arkansas,1994,11,4,7
Danny Ford,Arkansas,1995,13,8,5
Danny Ford,Arkansas,1996,11,4,7
Danny Ford,Arkansas,1997,11,4,7
Rick Forzano,Navy,1969,10,1,9
Rick Forzano,Navy,1970,11,2,9
Rick Forzano,Navy,1971,11,3,8
Rick Forzano,Navy,1972,11,4,7
Amos Foster,Nebraska,1906,10,6,4
Dixon Foster,South Carolina,1917,8,3,5
Dixon Foster,South Carolina,1919,9,1,7
Vince Di Francesca,Iowa State,1954,9,3,6
Vince Di Francesca,Iowa State,1955,9,1,7
Vince Di Francesca,Iowa State,1956,10,2,8
Dennis Franchione,New Mexico,1992,11,3,8
Dennis Franchione,New Mexico,1993,11,6,5
Dennis Franchione,New Mexico,1994,12,5,7
Dennis Franchione,New Mexico,1995,11,4,7
Dennis Franchione,New Mexico,1996,11,6,5
Dennis Franchione,New Mexico,1997,13,9,4
Dennis Franchione,TCU,1998,12,7,5
Dennis Franchione,TCU,1999,12,8,4
Dennis Franchione,TCU,2000,11,10,1
Dennis Franchione,Alabama,2001,12,7,5
Dennis Franchione,Alabama,2002,13,10,3
Dennis Franchione,Texas A&M,2003,12,4,8
Dennis Franchione,Texas A&M,2004,12,7,5
Dennis Franchione,Texas A&M,2005,11,5,6
Dennis Franchione,Texas A&M,2006,13,9,4
Dennis Franchione,Texas A&M,2007,13,7,6
Dennis Franchione,Texas State,2012,12,4,8
Dennis Franchione,Texas State,2013,12,6,6
Dennis Franchione,Texas State,2014,12,7,5
Dennis Franchione,Texas State,2015,12,3,9
Sam Francis,Kansas State,1947,10,0,10
James Franklin,Vanderbilt,2011,13,6,7
James Franklin,Vanderbilt,2012,13,9,4
James Franklin,Vanderbilt,2013,13,9,4
James Franklin,Penn State,2014,13,7,6
James Franklin,Penn State,2015,13,7,6
James Franklin,Penn State,2016,14,11,3
James Franklin,Penn State,2017,13,11,2
James Franklin,Penn State,2018,13,9,4
James Franklin,Penn State,2019,13,11,2
James Franklin,Penn State,2020,9,4,5
James Franklin,Penn State,2021,13,7,6
James Franklin,Penn State,2022,13,11,2
James Franklin,Penn State,2023,2,2,0
Carl Franks,Duke,1999,11,3,8
Carl Franks,Duke,2000,11,0,11
Carl Franks,Duke,2001,11,0,11
Carl Franks,Duke,2002,12,2,10
Carl Franks,Duke,2003,7,2,5
Ewing Freeland,TCU,1915,9,4,5
Marcus Freeman,Notre Dame,2021,1,0,1
Marcus Freeman,Notre Dame,2022,13,9,4
Marcus Freeman,Notre Dame,2023,3,3,0
Hugh Freeze,Arkansas State,2011,13,10,3
Hugh Freeze,Ole Miss,2012,13,7,6
Hugh Freeze,Ole Miss,2013,13,8,5
Hugh Freeze,Ole Miss,2014,13,9,4
Hugh Freeze,Ole Miss,2015,13,10,3
Hugh Freeze,Ole Miss,2016,12,5,7
Hugh Freeze,Liberty,2019,13,8,5
Hugh Freeze,Liberty,2020,11,10,1
Hugh Freeze,Liberty,2021,13,8,5
Hugh Freeze,Liberty,2022,12,8,4
Hugh Freeze,Auburn,2023,2,2,0
Jerry Frei,Oregon,1967,10,2,8
Jerry Frei,Oregon,1968,10,4,6
Jerry Frei,Oregon,1969,11,5,5
Jerry Frei,Oregon,1970,11,6,4
Jerry Frei,Oregon,1971,11,5,6
Ralph Friedgen,Maryland,2001,12,10,2
Ralph Friedgen,Maryland,2002,14,11,3
Ralph Friedgen,Maryland,2003,13,10,3
Ralph Friedgen,Maryland,2004,11,5,6
Ralph Friedgen,Maryland,2005,11,5,6
Ralph Friedgen,Maryland,2006,13,9,4
Ralph Friedgen,Maryland,2007,13,6,7
Ralph Friedgen,Maryland,2008,13,8,5
Ralph Friedgen,Maryland,2009,12,2,10
Ralph Friedgen,Maryland,2010,13,9,4
Willie Fritz,Georgia Southern,2014,12,9,3
Willie Fritz,Georgia Southern,2015,13,9,4
Willie Fritz,Tulane,2016,12,4,8
Willie Fritz,Tulane,2017,12,5,7
Willie Fritz,Tulane,2018,13,7,6
Willie Fritz,Tulane,2019,13,7,6
Willie Fritz,Tulane,2020,12,6,6
Willie Fritz,Tulane,2021,12,2,10
Willie Fritz,Tulane,2022,14,12,2
Willie Fritz,Tulane,2023,2,1,1
Henry Frnka,Tulsa,1941,10,8,2
Henry Frnka,Tulsa,1942,11,10,1
Henry Frnka,Tulsa,1943,8,6,1
Henry Frnka,Tulsa,1944,10,8,2
Henry Frnka,Tulsa,1945,11,8,3
Henry Frnka,Tulane,1946,10,3,7
Henry Frnka,Tulane,1947,9,2,5
Henry Frnka,Tulane,1948,10,9,1
Henry Frnka,Tulane,1949,10,7,2
Henry Frnka,Tulane,1950,9,6,2
Henry Frnka,Tulane,1951,10,4,6
Scott Frost,UCF,2016,13,6,7
Scott Frost,UCF,2017,13,13,0
Scott Frost,Nebraska,2018,12,4,8
Scott Frost,Nebraska,2019,12,5,7
Scott Frost,Nebraska,2020,8,3,5
Scott Frost,Nebraska,2021,12,3,9
Scott Frost,Nebraska,2022,3,1,2
Hayden Fry,SMU,1962,10,2,8
Hayden Fry,SMU,1963,11,4,7
Hayden Fry,SMU,1964,10,1,9
Hayden Fry,SMU,1965,10,4,5
Hayden Fry,SMU,1966,11,8,3
Hayden Fry,SMU,1967,10,3,7
Hayden Fry,SMU,1968,11,8,3
Hayden Fry,SMU,1969,10,3,7
Hayden Fry,SMU,1970,11,5,6
Hayden Fry,SMU,1971,11,4,7
Hayden Fry,SMU,1972,11,7,4
Hayden Fry,North Texas,1973,11,5,5
Hayden Fry,North Texas,1974,11,2,7
Hayden Fry,North Texas,1975,11,7,4
Hayden Fry,North Texas,1976,11,6,5
Hayden Fry,North Texas,1977,11,9,2
Hayden Fry,North Texas,1978,11,9,2
Hayden Fry,Iowa,1979,11,5,6
Hayden Fry,Iowa,1980,11,4,7
Hayden Fry,Iowa,1981,12,8,4
Hayden Fry,Iowa,1982,12,8,4
Hayden Fry,Iowa,1983,12,9,3
Hayden Fry,Iowa,1984,13,8,4
Hayden Fry,Iowa,1985,12,10,2
Hayden Fry,Iowa,1986,12,9,3
Hayden Fry,Iowa,1987,13,10,3
Hayden Fry,Iowa,1988,13,6,4
Hayden Fry,Iowa,1989,11,5,6
Hayden Fry,Iowa,1990,12,8,4
Hayden Fry,Iowa,1991,12,10,1
Hayden Fry,Iowa,1992,12,5,7
Hayden Fry,Iowa,1993,12,6,6
Hayden Fry,Iowa,1994,11,5,5
Hayden Fry,Iowa,1995,12,8,4
Hayden Fry,Iowa,1996,12,9,3
Hayden Fry,Iowa,1997,12,7,5
Hayden Fry,Iowa,1998,11,3,8
Wesley Fry,Kansas State,1935,9,2,4
Wesley Fry,Kansas State,1936,9,4,3
Wesley Fry,Kansas State,1937,9,4,5
Wesley Fry,Kansas State,1938,9,4,4
Wesley Fry,Kansas State,1939,9,4,5
Justin Fuente,Memphis,2012,12,4,8
Justin Fuente,Memphis,2013,12,3,9
Justin Fuente,Memphis,2014,13,10,3
Justin Fuente,Memphis,2015,12,9,3
Justin Fuente,Virginia Tech,2016,14,10,4
Justin Fuente,Virginia Tech,2017,13,9,4
Justin Fuente,Virginia Tech,2018,13,6,7
Justin Fuente,Virginia Tech,2019,13,8,5
Justin Fuente,Virginia Tech,2020,11,5,6
Justin Fuente,Virginia Tech,2021,10,5,5
Bill Fulcher,Georgia Tech,1972,12,7,4
Bill Fulcher,Georgia Tech,1973,11,5,6
Leon Fuller,Colorado State,1982,11,4,7
Leon Fuller,Colorado State,1983,12,5,7
Leon Fuller,Colorado State,1984,11,3,8
Leon Fuller,Colorado State,1985,12,5,7
Leon Fuller,Colorado State,1986,11,6,5
Leon Fuller,Colorado State,1987,12,1,11
Leon Fuller,Colorado State,1988,11,1,10
Myron Fuller,North Carolina,1920,8,2,6
Myron Fuller,Tulane,1921,10,4,6
Phillip Fulmer,Tennessee,1992,4,4,0
Phillip Fulmer,Tennessee,1993,12,9,2
Phillip Fulmer,Tennessee,1994,12,8,4
Phillip Fulmer,Tennessee,1995,12,11,1
Phillip Fulmer,Tennessee,1996,12,10,2
Phillip Fulmer,Tennessee,1997,13,11,2
Phillip Fulmer,Tennessee,1998,13,13,0
Phillip Fulmer,Tennessee,1999,12,9,3
Phillip Fulmer,Tennessee,2000,12,8,4
Phillip Fulmer,Tennessee,2001,13,11,2
Phillip Fulmer,Tennessee,2002,13,8,5
Phillip Fulmer,Tennessee,2003,13,10,3
Phillip Fulmer,Tennessee,2004,13,10,3
Phillip Fulmer,Tennessee,2005,11,5,6
Phillip Fulmer,Tennessee,2006,13,9,4
Phillip Fulmer,Tennessee,2007,14,10,4
Phillip Fulmer,Tennessee,2008,12,5,7
Fred Furman,Mississippi State,1907,9,6,3
Fred Furman,Mississippi State,1908,7,3,4
Chan Gailey,Georgia Tech,2002,13,7,6
Chan Gailey,Georgia Tech,2003,13,7,6
Chan Gailey,Georgia Tech,2004,12,7,5
Chan Gailey,Georgia Tech,2005,12,7,5
Chan Gailey,Georgia Tech,2006,14,9,5
Chan Gailey,Georgia Tech,2007,12,7,5
Harry Gamage,Kentucky,1927,10,3,6
Harry Gamage,Kentucky,1928,8,4,3
Harry Gamage,Kentucky,1929,8,6,1
Harry Gamage,Kentucky,1930,8,5,3
Harry Gamage,Kentucky,1931,9,5,2
Harry Gamage,Kentucky,1932,9,4,5
Harry Gamage,Kentucky,1933,10,5,5
Hank Garrity,Wake Forest,1923,9,6,3
Hank Garrity,Wake Forest,1924,9,7,2
Hank Garrity,Wake Forest,1925,9,6,2
Floyd Gass,Oklahoma State,1969,10,5,5
Floyd Gass,Oklahoma State,1970,11,4,7
Floyd Gass,Oklahoma State,1971,11,4,6
George Gauthier,Michigan State,1918,7,4,3
Conrad Van Gent,Texas,1916,9,7,2
Conrad Van Gent,Stanford,1921,8,4,2
Jeff Genyk,Eastern Michigan,2004,11,4,7
Jeff Genyk,Eastern Michigan,2005,11,4,7
Jeff Genyk,Eastern Michigan,2006,12,1,11
Jeff Genyk,Eastern Michigan,2007,12,4,8
Jeff Genyk,Eastern Michigan,2008,12,3,9
Ray George,Texas A&M,1951,10,5,3
Ray George,Texas A&M,1952,10,3,6
Ray George,Texas A&M,1953,10,4,5
David Gibbs,Houston,2014,1,1,0
Gary Gibbs,Oklahoma,1989,11,7,4
Gary Gibbs,Oklahoma,1990,11,8,3
Gary Gibbs,Oklahoma,1991,12,9,3
Gary Gibbs,Oklahoma,1992,11,5,4
Gary Gibbs,Oklahoma,1993,12,9,3
Gary Gibbs,Oklahoma,1994,12,6,6
Bob Gibson,Bowling Green,1965,9,7,2
Bob Gibson,Bowling Green,1966,9,6,3
Bob Gibson,Bowling Green,1967,10,6,4
Claude Gibson,Tulsa,1970,10,6,4
Claude Gibson,Tulsa,1971,11,4,7
Claude Gibson,Tulsa,1972,6,1,5
Vince Gibson,Kansas State,1967,10,1,9
Vince Gibson,Kansas State,1968,10,4,6
Vince Gibson,Kansas State,1969,10,5,5
Vince Gibson,Kansas State,1970,11,6,5
Vince Gibson,Kansas State,1971,11,5,6
Vince Gibson,Kansas State,1972,11,3,8
Vince Gibson,Kansas State,1973,11,5,6
Vince Gibson,Kansas State,1974,11,4,7
Vince Gibson,Louisville,1975,11,1,10
Vince Gibson,Louisville,1976,11,4,7
Vince Gibson,Louisville,1977,12,7,4
Vince Gibson,Louisville,1978,11,7,4
Vince Gibson,Louisville,1979,11,4,6
Vince Gibson,Tulane,1980,12,7,5
Vince Gibson,Tulane,1981,11,6,5
Vince Gibson,Tulane,1982,11,4,7
Mike Giddings,Utah,1966,10,5,5
Mike Giddings,Utah,1967,11,4,7
Warren Giese,South Carolina,1956,10,7,3
