name,team,conference,year,pick,round,position
Anthony Midget,Virginia Tech,Big East,2000,5,5,Defensive Back
Aric Morris,Michigan State,Big Ten,2000,6,5,Defensive Back
Mao Tosi,Idaho,Big West,2000,7,5,Defensive Tackle
Clark Haggans,Colorado State,Mountain West,2000,8,5,Linebacker
Matt Johnson,BYU,Mountain West,2000,9,5,Center
Brian Young,UTEP,Western Athletic,2000,10,5,Defensive End
Ralph Brown,Nebraska,Big 12,2000,11,5,Defensive Back
Dave Stachelski,Boise State,Big West,2000,12,5,Tight End
Shane Lechler,Texas A&M,Big 12,2000,13,5,Punter
Windrell Hayes,USC,Pac-10,2000,14,5,Wide Receiver
Michael Wiley,Ohio State,Big Ten,2000,15,5,Running Back
Todd Franz,Tulsa,Western Athletic,2000,16,5,Defensive Back
Lamar Chapman,Kansas State,Big 12,2000,17,5,Defensive Back
Gillis Wilson,Southern,,2000,18,5,Defensive End
Richard Mercier,Miami,Big East,2000,19,5,Offensive Guard
Kabeer Gbaja-Biamila,San Diego State,Mountain West,2000,20,5,Defensive End
John Milem,Lenoir-Rhyne,,2000,21,5,Defensive End
Joey Jamison,Texas Southern,,2000,22,5,Wide Receiver
Arturo Freeman,South Carolina,SEC,2000,23,5,Defensive Back
Dante Hall,Texas A&M,Big 12,2000,24,5,Running Back
Muneer Moore,Richmond,,2000,25,5,Wide Receiver
Quincy Sanders,UNLV,Mountain West,2000,26,5,Defensive Back
Sammy Morris,Texas Tech,Big 12,2000,27,5,Running Back
James Whalen,Kentucky,SEC,2000,28,5,Tight End
Austin Wheatley,Iowa,Big Ten,2000,29,5,Tight End
Kiwaukee Thomas,Georgia Southern,,2000,30,5,Defensive Back
Frank Chamberlin,Boston College,Big East,2000,31,5,Linebacker
Jeff Marriott,Missouri,Big 12,2000,32,5,Defensive Tackle
Pat Dennis,Louisiana Monroe,FBS Independents,2000,33,5,Defensive Back
Tee Martin,Tennessee,SEC,2000,34,5,Quarterback
Jay Tant,Northwestern,Big Ten,2000,35,5,Tight End
Troy Walters,Stanford,Pac-10,2000,36,5,Wide Receiver
Chad Morton,USC,Pac-10,2000,37,5,Running Back
Ernest Grant,Arkansas-Pine Bluff,,2000,1,6,Defensive Tackle
Marc Bulger,West Virginia,Big East,2000,2,6,Quarterback
Neil Rackers,Illinois,Big Ten,2000,3,6,Place Kicker
Frank Murphy,Kansas State,Big 12,2000,4,6,Running Back
Thomas Hamner,Minnesota,Big Ten,2000,5,6,Running Back
Mareno Philyaw,Troy,,2000,6,6,Wide Receiver
Chris Combs,Duke,ACC,2000,7,6,Defensive Tackle
Paul Edinger,Michigan State,Big Ten,2000,8,6,Place Kicker
James Williams,Marshall,Mid-American,2000,9,6,Wide Receiver
Jabari Issa,Washington,Pac-10,2000,10,6,Defensive Tackle
Dhani Jones,Michigan,Big Ten,2000,11,6,Linebacker
John Frank,Utah,Mountain West,2000,12,6,Defensive End
Tony Scott,NC State,ACC,2000,13,6,Defensive Back
Mario Edwards,Florida State,ACC,2000,14,6,Defensive Back
Quinton Reese,Auburn,SEC,2000,15,6,Defensive End
Jeno James,Auburn,SEC,2000,16,6,Offensive Tackle
Spergon Wynn,Texas State,,2000,17,6,Quarterback
Shannon Taylor,Virginia,ACC,2000,18,6,Linebacker
Tim Watson,Rowan,,2000,19,6,Defensive Tackle
Adalius Thomas,Southern Mississippi,Conference USA,2000,20,6,Defensive End
Antwan Harris,Virginia,ACC,2000,21,6,Defensive Back
Darnell Alford,Boston College,Big East,2000,22,6,Offensive Tackle
Mike Anderson,Utah,Mountain West,2000,23,6,Running Back
John Hilliard,Mississippi State,SEC,2000,24,6,Defensive Tackle
Cedric Woodard,Texas,Big 12,2000,25,6,Defensive Tackle
John Romero,California,Pac-10,2000,26,6,Center
David Gibson,USC,Pac-10,2000,27,6,Defensive Back
Leif Larsen,UTEP,Western Athletic,2000,28,6,Defensive Tackle
Michael Hawthorne,Purdue,Big Ten,2000,29,6,Defensive Back
Emanuel Smith,Arkansas,SEC,2000,30,6,Wide Receiver
Robaire Smith,Michigan State,Big Ten,2000,31,6,Defensive End
Matt Bowen,Iowa,Big Ten,2000,32,6,Defensive Back
Tom Brady,Michigan,Big Ten,2000,33,6,Quarterback
Sherrod Gideon,Southern Mississippi,Conference USA,2000,34,6,Wide Receiver
David Nugent,Purdue,Big Ten,2000,35,6,Defensive Tackle
Todd Husak,Stanford,Pac-10,2000,36,6,Quarterback
Damen Wheeler,Colorado,Big 12,2000,37,6,Defensive Back
Jason Gavadza,Kent State,Mid-American,2000,38,6,Tight End
JaJuan Seider,Florida A&M,,2000,39,6,Quarterback
Brad Bedell,Colorado,Big 12,2000,40,6,Offensive Guard
Manuia Savea,Arizona,Pac-10,2000,1,7,Offensive Guard
Desmond Kitchings,Furman,,2000,2,7,Wide Receiver
Eric Chandler,Jackson State,,2000,3,7,Defensive End
Brad St. Louis,Missouri State,,2000,4,7,Tight End
Darrick Vaughn,Texas State,,2000,5,7,Defensive Back
Tim Rattay,Louisiana Tech,FBS Independents,2000,6,7,Quarterback
Mike Green,Houston,Conference USA,2000,7,7,Running Back
Jarious Jackson,Notre Dame,FBS Independents,2000,8,7,Quarterback
Sekou Sanyika,California,Pac-10,2000,9,7,Linebacker
Delbert Cowsette,Maryland,ACC,2000,10,7,Defensive Tackle
Jeremiah Parker,California,Pac-10,2000,11,7,Defensive End
Richard Seals,Utah,Mountain West,2000,12,7,Defensive Tackle
Orantes Grant,Georgia,SEC,2000,13,7,Linebacker
Andrew Kline,San Diego State,Mountain West,2000,14,7,Offensive Guard
Lester Towns,Washington,Pac-10,2000,15,7,Linebacker
Jason Thomas,Hampton,,2000,16,7,Offensive Guard
James Cotton,Ohio State,Big Ten,2000,17,7,Defensive End
Mark Tauscher,Wisconsin,Big Ten,2000,18,7,Offensive Tackle
Rashidi Barnes,Colorado,Big 12,2000,19,7,Defensive Back
Casey Tisdale,New Mexico,Mountain West,2000,20,7,Defensive End
Mondriel Fulcher,Miami,Big East,2000,21,7,Tight End
Kevin Houser,Ohio State,Big Ten,2000,22,7,Tight End
Ron Moore,Northwestern Oklahoma State,,2000,23,7,Defensive Tackle
Brian Jennings,Arizona State,Pac-10,2000,24,7,Tight End
Cliffton Black,Texas State,,2000,25,7,Defensive Back
Jeff Harris,Georgia,SEC,2000,26,7,Defensive Back
Drew Haddad,Buffalo,Mid-American,2000,27,7,Wide Receiver
Joe Hamilton,Georgia Tech,ACC,2000,28,7,Quarterback
Rob Renes,Michigan,Big Ten,2000,29,7,Defensive Tackle
Erik Olson,Colorado State,Mountain West,2000,30,7,Defensive Back
Wes Shivers,Mississippi State,SEC,2000,31,7,Offensive Tackle
Rodregis Brooks,UAB,Conference USA,2000,32,7,Defensive Back
Patrick Pass,Georgia,SEC,2000,33,7,Running Back
Mike Malano,San Diego State,Mountain West,2000,34,7,Center
Rob Meier,Washington State,Pac-10,2000,35,7,Defensive End
Charles Lee,UCF,FBS Independents,2000,36,7,Wide Receiver
Shyrone Stith,Virginia Tech,Big East,2000,37,7,Running Back
Giles Cole,Texas A&M-Kingsville,,2000,38,7,Tight End
Danny Clark,Illinois,Big Ten,2000,39,7,Linebacker
Leroy Fields,Jackson State,,2000,40,7,Wide Receiver
Mark Baniewicz,Syracuse,Big East,2000,41,7,Offensive Tackle
Lewis Kelly,South Carolina State,,2000,42,7,Offensive Guard
Eugene McCaslin,Florida,SEC,2000,43,7,Linebacker
Ethan Howell,Oklahoma State,Big 12,2000,44,7,Wide Receiver
DaShon Polk,Arizona,Pac-10,2000,45,7,Linebacker
Rondell Mealey,LSU,SEC,2000,46,7,Running Back
Alfonso Boone,Birmingham-Southern,,2000,47,7,Defensive Tackle
Mike Green,Northwestern State,,2000,48,7,Defensive Back
Michael Vick,Virginia Tech,Big East,2001,1,1,Quarterback
Leonard Davis,Texas,Big 12,2001,2,1,Offensive Tackle
Gerard Warren,Florida,SEC,2001,3,1,Defensive Tackle
Justin Smith,Missouri,Big 12,2001,4,1,Defensive End
LaDainian Tomlinson,TCU,Western Athletic,2001,5,1,Running Back
Richard Seymour,Georgia,SEC,2001,6,1,Defensive Tackle
Andre Carter,California,Pac-10,2001,7,1,Defensive End
David Terrell,Michigan,Big Ten,2001,8,1,Wide Receiver
Koren Robinson,NC State,ACC,2001,9,1,Wide Receiver
Jamal Reynolds,Florida State,ACC,2001,10,1,Defensive End
Dan Morgan,Miami,Big East,2001,11,1,Linebacker
