team,year,conference,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers
Texas,2021,Big 12,244.0,9.0,20.0,7.0,8.0,12.0,1.0,91.0,10.0,0.0,504.0,28.0,2705.0,346.0,217.0,7.0,29.0,69.0,579.0,20217.0,0.0,174.0,17.0,457.0,25.0,2392.0,20.0,72.0,70.0,160.0,5097.0,17.0
Texas,2022,Big 12,296.0,12.0,22.0,7.0,7.0,13.0,2.0,167.0,7.0,0.0,472.0,21.0,3138.0,405.0,248.0,10.0,22.0,79.0,615.0,21302.0,1.0,186.0,21.0,470.0,29.0,2444.0,27.0,87.0,64.0,165.0,5582.0,14.0
Texas,2023,Big 12,323.0,19.0,31.0,9.0,8.0,14.0,2.0,210.0,9.0,1.0,636.0,33.0,4047.0,475.0,317.0,16.0,25.0,92.0,731.0,26223.0,2.0,393.0,27.0,527.0,29.0,2638.0,29.0,79.0,71.0,185.0,6685.0,18.0
Texas A&M,2007,Big 12,275.0,13.0,20.0,10.0,19.0,13.0,0.0,132.0,8.0,,,,2527.0,376.0,214.0,8.0,14.0,81.0,614.0,15184.0,0.0,130.0,32.0,576.0,31.0,2751.0,,,92.0,200.0,5161.0,18.0
Texas A&M,2008,Big 12,223.0,12.0,19.0,20.0,12.0,12.0,1.0,85.0,12.0,,,,3341.0,412.0,251.0,8.0,23.0,86.0,681.0,12326.0,0.0,95.0,22.0,365.0,14.0,1062.0,,,75.0,167.0,4091.0,32.0
Texas A&M,2009,Big 12,338.0,8.0,19.0,16.0,9.0,13.0,0.0,192.0,8.0,1.0,1580.0,72.0,3886.0,509.0,302.0,12.0,30.0,99.0,901.0,14861.0,0.0,161.0,34.0,544.0,25.0,2394.0,,,104.0,207.0,6055.0,24.0
Texas A&M,2010,Big 12,309.0,10.0,20.0,15.0,9.0,13.0,1.0,209.0,15.0,2.0,1206.0,51.0,3873.0,515.0,311.0,16.0,28.0,101.0,812.0,15168.0,1.0,247.0,49.0,519.0,19.0,2145.0,,,84.0,201.0,5744.0,30.0
Texas A&M,2011,Big 12,345.0,2.0,10.0,9.0,8.0,13.0,0.0,216.0,15.0,0.0,909.0,42.0,3825.0,537.0,331.0,7.0,29.0,91.0,855.0,14183.0,1.0,435.0,53.0,507.0,29.0,2589.0,,,88.0,191.0,6373.0,24.0
Texas A&M,2012,SEC,357.0,7.0,12.0,11.0,4.0,13.0,2.0,196.0,10.0,0.0,697.0,32.0,4114.0,492.0,329.0,12.0,28.0,80.0,735.0,22693.0,1.0,452.0,35.0,533.0,46.0,3147.0,,,106.0,194.0,7261.0,21.0
Texas A&M,2013,SEC,356.0,11.0,18.0,8.0,5.0,13.0,4.0,247.0,13.0,0.0,1012.0,47.0,4593.0,489.0,339.0,17.0,40.0,81.0,690.0,21052.0,0.0,147.0,22.0,465.0,33.0,2406.0,,,81.0,161.0,6999.0,21.0
