name,team,year,games,wins,losses,cumulative_wins,cumulative_games,career_win_pct
Sol Metzger,West Virginia,1915,7,5,1,23,36,0.6388888888888888
William Fetzer,Davidson,1915,8,4,3,4,8,0.5
Branch Bocock,Virginia Tech,1915,8,4,4,45,66,0.6818181818181818
Dave Allerdice,Texas,1915,9,6,3,33,40,0.825
Jesse Hawley,Iowa,1915,7,3,4,24,42,0.5714285714285714
Andy Smith,Purdue,1915,7,3,3,12,21,0.5714285714285714
Edward Robinson,Brown,1915,10,5,4,84,144,0.5833333333333334
C.J. McCoy,Florida,1915,7,4,3,9,14,0.6428571428571429
Clark Shaughnessy,Tulane,1915,8,4,4,4,8,0.5
Pop Warner,Pittsburgh,1915,8,8,0,157,224,0.7008928571428571
E.T. McDonald,LSU,1915,8,6,2,10,17,0.5882352941176471
John Wilce,Ohio State,1915,7,5,1,14,21,0.6666666666666666
Fred Murphy,Northwestern,1915,7,2,5,4,22,0.18181818181818182
Fielding Yost,Michigan,1915,8,4,3,104,128,0.8125
Herman Olcott,Kansas,1915,8,6,2,6,8,0.75
Dan McGugin,Vanderbilt,1915,10,9,1,83,107,0.7757009345794392
E.H. Harlan,Texas A&M,1915,8,6,2,6,8,0.75
Dick Harlow,Penn State,1915,9,7,2,7,9,0.7777777777777778
Ewing Freeland,TCU,1915,9,4,5,4,9,0.4444444444444444
Frank Cavanaugh,Dartmouth,1915,9,7,1,45,63,0.7142857142857143
Jesse Harper,Notre Dame,1915,8,7,1,20,23,0.8695652173913043
Robert Zuppke,Illinois,1915,7,5,0,16,21,0.7619047619047619
Bob Williams,Clemson,1915,8,2,4,21,41,0.5121951219512195
Fred Folsom,Colorado,1915,7,1,6,74,98,0.7551020408163265
John Griffith,Oklahoma State,1915,10,4,5,6,17,0.35294117647058826
T.T. McConnell,Arkansas,1915,7,4,2,4,7,0.5714285714285714
Zora Clevenger,Tennessee,1915,8,4,4,26,43,0.6046511627906976
Henry Williams,Minnesota,1915,7,6,0,117,145,0.8068965517241379
W.C. Smith,Wake Forest,1915,7,3,4,6,16,0.375
