team,year,conference,expected_wins,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,off_drives,def_drives,off_explode,def_explode,off_ppa,def_ppa,off_success_rate,def_success_rate,coach,career_win_pct,sor,sos
California,2018,Pac-12,6.3,0.5384615384615384,0.4954954954954955,0.4166666666666667,1584.0,2.044,6.958333333333333,42,197.41,190.8775,2.0,0.1025641025641025,1.0,0.647,0.824,4614.0,3.0,36.0,145,147,1.2147406525701845,1.0959840101694869,0.135734047989241,0.1787560984395464,0.4266958424507658,0.4683684794672586,Justin Wilcox,0.4166666666666667,62.0,56
California,2019,Pac-12,7.8,0.6153846153846154,0.4978723404255319,0.5384615384615384,1532.0,4.19,6.116666666666667,43,196.48,190.305,0.0,0.0649350649350649,0.632,0.301,0.406,4444.0,-1.0,29.0,164,164,1.097416319898376,1.0622653553385366,0.0414484808499447,0.0155324255677524,0.4015572858731924,0.3823857302118171,Justin Wilcox,0.48,55.0,30
California,2020,Pac-12,1.1,0.25,0.5040322580645161,0.6153846153846154,1499.0,3.474,5.275,39,198.0,187.855,1.0,0.0470588235294117,0.081,0.01,0.067,4271.0,6.0,35.0,152,153,1.2739074528650904,1.125500226353656,0.1364842046997556,0.1139564992581427,0.3912529550827423,0.4257528556593977,Justin Wilcox,0.5263157894736842,30.0,88
California,2021,Pac-12,6.1,0.4166666666666667,0.5,0.25,1442.0,3.505,5.666666666666667,28,209.2,200.2725,5.0,0.0869565217391304,0.993,0.915,0.904,1278.0,0.0,10.0,50,48,1.0616049722919962,1.1217221480324486,0.064139663250917,0.1802792968752371,0.3719298245614035,0.4741035856573705,Justin Wilcox,0.5,67.0,90
California,2023,Pac-12,6.4,0.4615384615384615,0.4891304347826087,0.3333333333333333,1406.0,-1.39,6.133333333333333,79,162.74,186.3675,1.0,0.1095890410958904,0.0,0.571,0.236,4375.0,12.0,33.0,142,147,1.3895028991900418,1.0916648551358394,0.1896530864832801,0.2005017737881655,0.3892445582586428,0.4960091220068415,Justin Wilcox,0.4545454545454545,84.0,24
Central Michigan,2014,Mid-American,7.3,0.5384615384615384,0.4593023255813953,0.5,1298.0,-12.566,-12.792307692307691,116,91.2,98.7925,0.0,0.0,0.921,0.783,0.858,4093.0,-5.0,31.0,143,137,0.989288036564482,0.891430450333621,0.062539453125895,0.1112713863709669,0.4164222873900293,0.4649350649350649,Dan Enos,0.3877551020408163,94.0,115
Central Michigan,2015,Mid-American,8.3,0.5384615384615384,0.4648648648648649,0.5384615384615384,1375.0,-4.965,-9.507692307692308,97,123.63,110.79,0.0,0.0,0.998,0.343,0.575,5175.0,-5.0,46.0,158,159,1.1858882540072169,1.3053886080046726,0.2002386457637165,0.1469473457580163,0.4661399548532731,0.3985932004689331,John Bonamego,0.0,89.0,85
Central Michigan,2016,Mid-American,5.8,0.4615384615384615,0.4696969696969697,0.5384615384615384,1473.0,-1.872,-5.046153846153846,107,112.52,108.85,0.0,0.0,0.996,0.7,0.853,5212.0,1.0,41.0,150,148,1.2439006010198144,1.1431040489342066,0.1689631320198305,0.123896090531565,0.4263839811542991,0.40153452685422,John Bonamego,0.5384615384615384,77.0,87
Central Michigan,2017,Mid-American,6.7,0.6153846153846154,0.4691943127962085,0.4615384615384615,1231.0,-5.665,-4.258333333333333,93,127.4,113.6875,0.0,0.0,0.018,0.52,0.418,5096.0,-6.0,41.0,164,162,1.311524328863353,1.2083650681889222,0.1595465720978857,0.1510735159981203,0.4107551487414188,0.4317673378076063,John Bonamego,0.5,91.0,98
Central Michigan,2018,Mid-American,1.8,0.0833333333333333,0.4776785714285714,0.6153846153846154,1386.0,-7.89,-7.391666666666667,120,111.22,118.6925,0.0,0.0,0.049,0.836,0.384,5067.0,0.0,46.0,193,197,1.3662906460290525,1.128399868566085,0.099488428440488,0.0736875403049013,0.3743199129488574,0.3948453608247422,John Bonamego,0.5384615384615384,73.0,99
