,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,games,off_drives,def_drives,off_explode,def_explode,off_success_rate,def_success_rate,career_win_pct,sor,sos
passing_usage,0.13756512687988362,-0.03777288122885334,-0.02683787192146169,-0.028998927237402265,-0.026008310945637842,-0.013377076706836672,0.016010976215626572,-0.01864350076018361,-0.03062937982632481,-0.04431639312074221,1.0,0.28591021609949674,0.8246189355927704,-0.0823899029735877,-0.0074398886465510666,-0.06270900184642147,-0.08523447678213189,-0.06049171192380215,-0.05646470575120967,0.03754773541084469,0.01932901378430959,-0.0660219431827276,-0.03425652252204656,-0.014544438785442494,0.02385842753776854,0.019326831454813145
rushing_usage,0.1332314016524009,-0.047463874651956034,-0.028241372622214194,-0.050757117367013695,-0.045175361312756096,-0.042302740444861264,0.03560619308000755,-0.03997551539430336,-0.030288594507347086,-0.03534303583979136,0.28591021609949674,1.0,0.7101010814267936,-0.05534435893027001,-0.0352872310757187,-0.043682732875569494,-0.10658864364161849,-0.07175780184540233,-0.07123288178201509,0.04561860249410549,0.008472852432642881,-0.018716521597699366,0.008289688834346247,-0.005733371320628955,0.04003784285176893,0.032216709133238826
usages,0.1888027846764957,-0.05563020685033608,-0.048642335642414575,-0.0632531911274082,-0.05617697919057225,-0.033009053164246634,0.032599038365092196,-0.03510945966071509,-0.0362836506712932,-0.048891413379424015,0.8246189355927704,0.7101010814267936,1.0,-0.12882395976145727,-0.03427452122898808,-0.10182669673474762,-0.15351611816390948,-0.11016368939491124,-0.10744637625928534,0.042620693737793175,0.013413568414978767,-0.07974848729246024,-0.022219918774034186,-0.01877011471970395,0.05025893573376014,0.03366679926343994
totalYards,0.3698611642436823,0.3511856953965387,0.6189641786708572,0.5794483474997847,0.5633693132080869,0.17094277648096284,-0.2821994539542601,0.29300788844698494,0.2539321697182495,0.2694609054400351,-0.0823899029735877,-0.05534435893027001,-0.12882395976145727,1.0,0.2859843534464226,0.9239358299140032,0.7481491854721993,0.7177330639281951,0.7235427585060346,0.0352419261464557,-0.029072589928436133,0.6900231275576555,-0.234362757667514,0.3444894933558277,-0.5272190530595925,-0.16173148572052237
turnover_margin,0.2950678386800124,0.21831505309446775,0.5529439474850245,0.50017370592024,0.43713004917979204,0.07239527846612276,-0.14340616670135947,0.17013726650932495,0.15568953294343457,0.15060673797407337,-0.0074398886465510666,-0.0352872310757187,-0.03427452122898808,0.2859843534464226,1.0,0.3877503601296826,0.21179091188467444,0.1459256191979464,0.15760919978225496,-0.005030521335864253,-0.04814545619939397,0.2805210634489992,-0.27231742613994614,0.22135871260291778,-0.4734753112104819,-0.06915216020086391
total_tds,0.42840882870865304,0.38391250120494214,0.7065002225041791,0.6661033800751837,0.6323246002245031,0.1605718696263313,-0.281866503751207,0.3078062113483867,0.2724452201819742,0.29968747783550104,-0.06270900184642147,-0.043682732875569494,-0.10182669673474762,0.9239358299140032,0.3877503601296826,1.0,0.5944202823623489,0.5624427028478102,0.5760332749146593,0.11221390076853584,0.01253551247203017,0.7669260006719033,-0.24605577210981136,0.37300806731756425,-0.603772231610516,-0.14804015788128325
games,0.19110168839671116,0.1754719203235052,0.3609001301562923,0.29301315736640016,0.28481597271157133,0.11628042473290642,-0.14231984970851486,0.15283796216949166,0.10564948749867656,0.13009446195196583,-0.08523447678213189,-0.10658864364161849,-0.15351611816390948,0.7481491854721993,0.21179091188467444,0.5944202823623489,1.0,0.865174555279275,0.8637971465234762,-0.1429115573450242,-0.1504789980988197,0.2580966682550234,-0.23273648270926464,0.20359200341257108,-0.27638041931201135,-0.10287510165883544
off_drives,0.15388922839907912,0.18218663828336176,0.2964875368797264,0.259472148171336,0.28329379321723813,0.15892517468991982,-0.18165460913689024,0.17192053177395492,0.12999052090125132,0.12393082065568077,-0.06049171192380215,-0.07175780184540233,-0.11016368939491124,0.7177330639281951,0.1459256191979464,0.5624427028478102,0.865174555279275,1.0,0.9866243973215297,-0.13640922084970897,-0.1371967212956563,0.141001965161299,-0.29481089547625267,0.19726702149881825,-0.255943290784584,-0.14456255134985307
def_drives,0.174563633006239,0.20020797741396681,0.32105247222799327,0.2903918254735711,0.31255716123123584,0.17099246040298213,-0.20033414361567883,0.19082531553065155,0.1483090090725506,0.14073557254178615,-0.05646470575120967,-0.07123288178201509,-0.10744637625928534,0.7235427585060346,0.15760919978225496,0.5760332749146593,0.8637971465234762,0.9866243973215297,1.0,-0.13456901475927044,-0.14738924060234262,0.15914065875236952,-0.3115794297277895,0.21313594291562804,-0.281471066943282,-0.1560025734416532
off_explode,-0.009417723330771552,0.002398595827898045,0.019999432772515747,-0.0059559908640440095,-0.02637564747630783,-0.038296683781564415,0.010736701770761576,0.03531675194706809,0.053094714508214534,0.02719500984950249,0.03754773541084469,0.04561860249410549,0.042620693737793175,0.0352419261464557,-0.005030521335864253,0.11221390076853584,-0.1429115573450242,-0.13640922084970897,-0.13456901475927044,1.0,0.5013430889743969,-0.03707022946681155,0.10758821260533269,-0.025218263807294913,0.006996874119414818,0.042033110859808064
def_explode,-0.013492922985857653,0.016685515780840973,-0.01588529730118101,-0.06110831813816946,-0.09104068183636566,-0.06845211689694287,0.06506791696219835,-0.023730383179569096,-0.015647087567566064,-0.05532167720085168,0.01932901378430959,0.008472852432642881,0.013413568414978767,-0.029072589928436133,-0.04814545619939397,0.01253551247203017,-0.1504789980988197,-0.1371967212956563,-0.14738924060234262,0.5013430889743969,1.0,0.04443172557248462,-0.13952127920607904,-0.0184295342126718,0.05341270494672674,0.08231897517467089
off_success_rate,0.43173952691084144,0.42268385308847384,0.6626348484758593,0.6705401756834236,0.6375417975557482,0.19169136478221066,-0.3284771519642717,0.36008231550948905,0.3379992628195383,0.3485250849154503,-0.0660219431827276,-0.018716521597699366,-0.07974848729246024,0.6900231275576555,0.2805210634489992,0.7669260006719033,0.2580966682550234,0.141001965161299,0.15914065875236952,-0.03707022946681155,0.04443172557248462,1.0,-0.13799456913990668,0.34781850881428605,-0.5999209657834065,-0.18553306488737817
def_success_rate,-0.3878874229530641,-0.40448011199657263,-0.5641733573667427,-0.5769832314716075,-0.5205509734636522,-0.14753328780540273,0.2637229672008808,-0.28123588710362246,-0.2713441128340996,-0.2533898247890803,-0.03425652252204656,0.008289688834346247,-0.022219918774034186,-0.234362757667514,-0.27231742613994614,-0.24605577210981136,-0.23273648270926464,-0.29481089547625267,-0.3115794297277895,0.10758821260533269,-0.13952127920607904,-0.13799456913990668,1.0,-0.2996253283010173,0.49678912243562257,0.13571133700809992
