,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
610,303172005,Air Force,48,home,2,6,0,0,3,1,76,0,3,6,31,9-16,3-4,461,88,7-10,8.8,373,80,4.7,6-55,1,1,0,21:11,New Mexico,23,away,1,2,0,0,1,1,123,0,7,5,,,,15,6-16,3-4,258,125,15-25,4.0,159,39,4.1,6-45,2,2,0,17:31,,,
611,303172393,North Texas,23,away,1,1,1,0,4,1,51,0,4,11,22,10-18,0-0,446,175,16-25,6.7,279,57,4.9,11-76,2,1,1,23:23,Middle Tennessee,17,home,1,2,4,0,4,0,115,0,5,5,30,0,1,19,7-16,0-0,364,206,17-30,6.6,167,35,4.8,3-30,3,1,2,13:02,50,0,2
612,303170258,Virginia,23,home,0,0,41,0,4,2,153,0,8,11,23,4-14,2-3,382,301,27-48,6.0,92,27,3.4,16-145,2,0,2,17:54,Maryland,42,away,0,4,1,0,1,2,59,0,3,6,31,0,2,21,9-16,2-2,425,289,17-28,10.3,136,36,3.8,8-60,0,0,0,18:46,,,
613,303170097,South Florida,24,away,0,0,-2,0,3,1,141,1,2,10,10,2-14,0-0,259,101,11-19,4.6,172,39,4.4,5-55,1,1,0,16:48,Louisville,21,home,1,0,-3,0,2,3,128,0,4,3,,,,20,8-18,1-2,328,146,16-31,4.7,182,49,3.7,8-63,2,0,2,19:35,5,0,2
614,303172116,Southern Mississippi,31,away,0,0,7,0,1,4,41,0,3,7,25,11-16,0-0,414,267,21-35,7.5,150,37,4.1,6-65,1,0,1,17:51,UCF,21,home,0,1,0,0,2,2,142,0,6,3,13,0,1,18,8-15,0-0,335,204,16-26,7.3,145,33,4.4,9-65,2,0,2,18:04,0,0,2
615,303170276,Marshall,28,home,1,1,38,0,6,3,73,0,3,4,21,6-15,1-1,369,279,20-28,9.0,118,38,3.1,6-52,2,1,1,20:16,Memphis,13,away,1,0,1,0,4,1,100,0,5,7,14,0,1,13,4-14,0-0,241,231,14-32,6.3,40,26,1.5,11-95,1,1,0,16:24,,,
616,303150005,UAB,42,home,0,1,0,0,4,5,195,0,10,6,28,7-14,1-2,545,423,31-50,8.4,127,29,4.4,5-50,2,1,1,19:33,East Carolina,54,away,1,2,64,0,2,5,149,0,7,10,14,0,1,25,8-15,1-1,492,364,30-47,7.7,128,29,4.4,10-74,0,0,0,16:37,,,
617,303170248,Houston,25,home,0,0,0,0,2,3,72,0,4,5,22,5-10,0-0,409,291,22-36,8.1,118,32,3.7,4-32,5,0,5,14:32,Tulsa,28,away,0,2,5,0,1,2,71,0,4,4,35,0,5,27,5-12,0-1,413,162,20-31,5.0,259,50,5.2,4-41,2,0,2,22:08,3,0,2
618,303172655,Rice,49,away,0,3,17,0,3,4,344,0,10,7,28,7-11,1-2,542,298,21-36,8.1,252,41,6.1,7-73,4,1,3,18:21,Tulane,54,home,1,2,,,,5,158,0,7,12,50,0,3,28,9-15,0-0,512,367,23-38,9.4,155,39,4.0,4-19,0,0,0,18:12,,,
619,303160070,Boise State,52,away,0,3,122,1,6,3,74,0,2,10,23,3-12,1-1,424,238,22-33,6.8,199,36,5.5,4-46,1,1,0,16:36,Idaho,14,home,1,0,9,0,3,1,128,0,7,2,,,,15,5-19,2-4,316,241,28-54,4.0,101,25,4.0,7-80,3,0,3,19:05,40,0,3
