,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
1251,401540122,Mississippi Valley State,3,home,0,0,50,0,2,3,,,,0,2,32:35,1,2,3,4-17,1.6,33,54,3.2,16-24,76,130,1-2,3-16,8,Alabama State,20,away,2,22,0,3,1,21,0,1,2,,,,2,,27:25,0,0,0,4-30,3.9,26,102,5.4,15-22,119,221,2-4,0-11,8,,,,,,,,,,,,,24,0,3
1252,401540131,Texas Southern,44,home,4,2,28,0,2,8,43,0,1,1,2,29:24,0,0,0,10-65,5.3,37,196,12.6,18-24,303,499,0-1,5-14,20,Alcorn State,10,away,1,-1,0,1,0,87,0,5,4,,,,0,1,30:36,1,1,2,5-49,2.3,26,59,6.5,19-40,259,318,1-1,5-16,14,,,,,,,,,,,,,7,0,1
1253,401540139,Grambling,43,away,3,3,64,0,4,5,26,0,2,0,1,31:22,0,1,1,10-77,7.6,28,213,7.1,18-28,198,411,0-1,3-9,21,Arkansas-Pine Bluff,14,home,1,19,0,3,1,97,0,5,2,,,,1,1,28:38,2,0,2,9-86,3.2,38,123,4.9,14-29,143,266,2-4,1-14,13,,,,,,,,,,,,,-2,0,3
1254,401540169,Southern,21,home,2,1,97,0,6,3,,,,1,0,26:53,0,0,0,7-67,3.1,34,105,8.5,18-26,222,327,1-3,2-12,18,Prairie View,27,away,2,18,0,4,1,75,0,2,9,,,,0,1,33:07,0,1,1,4-36,3.4,48,163,11.5,10-16,184,347,1-2,3-12,19,,,,,,,,,,,,,-9,0,1
1255,401540512,Dayton,35,home,3,2,59,0,2,5,24,0,3,2,2,30:16,1,1,2,7-65,5.4,36,196,7.6,21-30,228,424,1-1,6-12,22,Marist,6,away,0,,,,1,56,0,5,0,0,0,1,1,4,29:44,3,2,5,4-40,3.7,26,97,7.2,26-36,259,356,1-3,7-13,17,,,,,,,,,,,,,0,0,1
1256,401540405,Morehead State,47,home,1,6,64,0,4,5,78,0,6,0,1,24:19,0,0,0,5-35,3.6,33,118,15.0,10-16,240,358,0-1,2-9,16,Davidson,17,away,1,,,,1,143,0,7,5,,,,0,1,35:41,6,0,6,5-60,5.1,52,263,3.4,16-34,115,378,1-5,7-16,21,,,,,,,,,,,,,1,0,2
1257,401540568,Valparaiso,23,home,2,0,109,0,5,5,,,,0,1,27:41,3,1,4,3-25,5.4,38,205,4.9,13-23,113,318,1-4,0-9,15,Stetson,20,away,2,6,0,2,0,20,0,1,8,10,0,3,1,0,32:19,0,0,0,2-7,1.5,41,60,6.3,15-32,203,263,2-3,4-17,15,,,,,,,,,,,,,59,1,3
1258,401544198,Princeton,28,home,2,2,,,,4,,,,2,1,27:33,0,0,0,6-49,3.9,39,154,6.6,21-37,243,397,3-5,4-17,20,Yale,36,away,4,17,0,1,1,20,0,1,4,,,,0,1,32:27,0,1,1,6-50,4.0,49,197,7.7,23-30,232,429,1-1,8-16,23,,,,,,,,,,,,,,,
1259,401540344,Harvard,25,home,2,1,54,0,4,5,0,0,1,0,1,36:04,1,0,1,5-50,2.7,49,131,7.0,23-36,253,384,0-0,12-19,24,Pennsylvania,23,away,2,13,0,1,0,28,0,2,11,0,0,1,0,,23:56,1,0,1,1-5,4.0,27,109,6.1,22-38,232,341,1-1,5-14,18,,,,,,,,,,,,,0,0,1
1260,401540332,Cornell,14,away,1,1,53,0,4,2,,,,0,1,27:25,0,1,1,5-49,4.2,27,113,4.9,19-31,153,266,1-3,4-12,16,Dartmouth,30,home,3,24,0,2,1,37,0,1,6,,,,1,0,32:35,0,0,0,4-35,5.6,35,196,8.8,14-20,176,372,0-0,5-12,15,,,,,,,,,,,,,29,0,3
