,id,team1,team1_pts,team1_home_away,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team1_totalFumbles,team2_totalFumbles
450,401247336,Rutgers,7,home,7,0,36,2,1,3,1,0,1,24,0,2,23:13,0,1,1,3-30,2.6,32,83,3.8,18-32,122,205,1-4,3-15,12,Penn State,23,away,6,0,35,2,3,5,1,1,1,4,0,1,11,,,,36:37,1,1,2,2-20,4.4,57,248,6.0,15-22,133,381,1-3,4-15,23,1,0,0,1,4,0,1,2,0,1,,
451,401247337,Illinois,21,home,4,0,35,2,0,2,0,0,3,22,0,2,29:27,0,0,0,3-30,3.9,38,149,5.7,17-35,199,348,1-2,9-18,20,Iowa,35,away,4,0,41,1,2,6,0,1,3,24,0,2,9,,,,30:33,0,0,0,3-22,5.4,38,204,7.9,18-28,220,424,1-1,4-12,22,3,,,,4,0,1,29,0,5,,
452,401249424,Stanford,31,away,3,0,33,0,0,1,0,3,1,136,0,5,31:55,0,1,1,3-25,4.8,40,191,8.1,20-31,252,443,2-2,10-13,23,Washington,26,home,2,0,48,0,0,2,1,3,0,37,0,2,8,,,,27:35,0,0,0,4-30,3.4,34,117,11.0,15-23,254,371,0-0,6-10,19,7,,,,,,,0,0,1,,
453,401248781,Western Carolina,9,away,2,1,39,1,2,1,2,0,0,65,0,3,31:44,0,1,1,5-45,3.5,40,139,6.1,11-19,116,255,0-2,5-14,13,North Carolina,49,home,6,0,40,1,4,0,1,5,2,39,0,2,7,,,,28:16,1,2,3,3-35,6.1,38,231,10.7,24-29,309,540,1-1,5-8,31,3,24,0,1,,,,32,0,2,,
454,401247338,Indiana,14,away,5,0,46,3,0,4,1,0,2,,,,24:40,0,1,1,1-15,2.8,31,87,5.9,13-22,130,217,0-0,4-10,15,Wisconsin,6,home,2,0,37,1,3,4,1,0,0,37,0,2,6,,,,35:08,1,1,2,8-81,4.0,35,140,5.9,20-34,202,342,0-1,8-16,19,2,20,0,1,5,0,1,,,,,
455,401249422,Oregon State,24,away,2,0,33,0,0,3,0,2,1,131,0,6,24:15,1,0,1,5-35,4.3,31,133,5.3,20-38,202,335,1-3,2-12,22,Utah,30,home,8,1,43,3,0,2,0,1,1,,,,12,35,0,1,35:24,0,0,0,11-96,5.3,43,230,6.4,18-27,174,404,1-2,7-15,21,6,,,,5,0,1,64,1,1,,
456,401249423,Oregon,17,away,7,0,46,4,2,3,0,1,1,32,0,2,23:57,0,2,2,9-60,4.0,34,137,8.9,14-26,231,368,0-1,4-12,19,California,21,home,7,0,35,2,2,4,2,2,1,,,,3,,,,36:03,0,0,0,4-33,1.9,47,88,5.7,20-32,183,271,2-3,7-21,18,5,,,,-2,0,1,40,0,4,,
457,401236033,Baylor,14,away,11,0,42,4,1,2,0,1,1,64,0,4,29:47,2,0,2,8-63,1.3,25,33,4.7,30-56,263,296,6-8,6-21,19,Oklahoma,27,home,8,0,45,3,4,8,0,1,2,,,,9,42,0,2,30:10,1,0,1,8-62,2.5,31,76,6.9,20-28,193,269,0-0,5-13,16,2,0,0,1,8,0,2,7,0,1,,
458,401257812,Rice,20,away,5,1,19,3,5,3,0,1,0,,,,33:07,0,1,1,5-35,2.8,44,124,6.1,10-14,86,210,1-1,4-12,16,Marshall,0,home,3,0,19,1,2,1,1,0,0,76,0,5,,,,,23:34,5,0,5,8-80,2.9,28,80,4.7,18-35,165,245,0-3,4-12,19,8,77,1,5,16,0,1,-1,0,2,,
459,401262494,Troy,29,away,8,0,35,5,1,3,1,0,3,32,0,1,31:47,1,0,1,1-10,3.3,35,117,7.1,34-42,297,414,0-2,10-15,25,South Alabama,0,home,5,0,52,1,0,1,0,0,0,39,0,2,,0,0,1,28:13,1,1,2,1-10,1.9,30,57,4.9,21-37,182,239,1-6,5-15,17,9,0,0,1,11,0,1,,,,,
460,401262493,Louisiana Monroe,15,away,6,0,29,1,2,3,0,1,1,129,0,5,32:54,0,0,0,6-41,3.1,36,110,6.1,21-35,213,323,1-5,1-13,18,Arkansas State,48,home,7,0,48,4,0,6,0,0,6,32,0,2,12,,,,27:06,1,0,1,3-12,2.4,32,78,16.0,17-32,511,589,0-1,10-16,20,1,32,0,1,,,,,,,,
461,401261675,Florida Atlantic,3,away,7,0,44,1,1,4,0,0,0,89,0,5,23:15,2,2,4,5-30,4.6,29,133,6.8,14-28,189,322,0-3,2-10,16,Georgia Southern,20,home,5,1,33,0,2,3,2,1,0,18,0,1,8,0,0,2,36:45,0,0,0,3-35,4.6,59,269,5.8,3-12,70,339,1-3,6-14,18,3,,,,,,,49,1,1,,
462,401249032,Fresno State,26,away,6,0,39,2,0,2,1,2,2,61,0,3,34:36,0,2,2,4-33,2.9,40,114,7.5,40-64,478,592,3-7,9-21,30,Nevada,37,home,6,0,62,2,0,2,2,0,5,74,0,4,7,,,,24:59,2,1,3,5-47,2.8,22,62,9.1,23-39,354,416,1-1,6-14,14,2,36,0,2,5,0,1,4,0,1,,
463,401249029,Air Force,35,away,2,0,25,2,2,2,0,4,1,,,,34:54,0,0,0,6-67,6.1,55,334,14.1,7-9,127,461,3-4,5-10,24,Utah State,7,home,2,0,27,1,0,0,0,0,1,118,0,5,1,,,,25:06,2,0,2,6-65,4.2,26,109,3.8,17-32,123,232,0-2,9-14,14,5,6,0,2,5,0,1,3,0,1,,
464,401265818,Arkansas,48,away,5,0,50,1,1,4,0,4,3,7,0,1,26:28,0,0,0,11-95,5.8,50,292,8.1,18-34,274,566,3-3,6-14,34,Missouri,50,home,1,0,38,1,1,4,0,5,0,32,0,2,20,,,,33:32,0,0,0,8-57,7.2,38,273,7.8,32-49,380,653,0-0,9-15,37,4,,,,0,0,1,,,,,
