,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
61,272442006,Army,14,away,0,1,74,0,6,0,2,18,7-18,0-2,242,207,23-44,4.2,58,29,2.0,3-28,2,0,2,18:43,Akron,22,home,0,0,96,0,4,1,10,76,1,2,17,2-12,0-0,287,155,17-29,5.3,133,35,3.8,6-40,0,0,0,17:12,,,,,,,,,
62,272460228,Clemson,24,home,1,1,48,0,7,2,6,16,4-15,0-1,292,170,14-24,6.7,132,42,3.1,6-46,1,1,0,19:32,Florida State,18,away,1,1,67,0,3,1,4,,,,8,3-17,1-3,256,157,17-35,4.1,114,28,4.1,8-45,1,1,0,16:07,,,,,,,,,
63,272440103,Wake Forest,28,away,1,0,17,0,2,2,4,24,6-19,1-3,368,384,45-60,6.1,2,24,0.1,2-15,4,0,4,20:41,Boston College,38,home,0,0,2,0,2,5,8,42,0,4,24,6-14,0-0,462,422,32-52,7.8,54,27,2.0,5-35,3,1,2,15:59,21,1,2,,,,,,
64,272442390,Marshall,3,away,0,0,0,0,3,0,3,13,6-18,1-2,234,215,19-35,5.2,51,32,1.6,12-67,4,0,4,20:44,Miami,31,home,0,3,28,0,3,1,7,49,0,4,20,2-8,0-1,341,81,9-21,3.9,260,40,6.5,7-50,1,0,1,15:56,19,0,1,,,,,,
65,272440153,James Madison,14,away,1,1,,,,1,2,15,0-0,0-0,250,100,14-22,4.5,150,44,3.4,8-58,3,1,2,20:31,North Carolina,37,home,1,2,23,0,4,3,7,45,0,2,14,4-11,1-2,327,227,14-19,11.9,100,34,2.9,8-90,2,1,1,16:09,,,,,,,,,
66,272440062,Northern Colorado,6,away,0,1,,,,0,0,14,3-15,0-2,0,129,18-29,4.6,50,34,1.5,4-18,3,2,1,31:59,Hawai'i,63,home,2,0,,,,1,1,0,0,1,30,2-9,3-4,0,540,45-59,9.2,37,10,3.7,4-50,2,0,2,23:50,8,0,2,121,0,7,94,1,1
67,272440278,Sacramento State,3,away,3,0,,,,0,3,10,0-0,0-0,102,38,13-23,2.6,42,28,1.5,3-21,0,0,0,15:17,Fresno State,24,home,0,2,19,0,5,1,6,,,,23,12-20,0-1,475,220,17-29,7.2,266,49,5.4,6-43,3,3,0,28:23,,,,85,0,4,,,
68,272500164,Rutgers,41,home,0,2,,,,3,11,24,6-10,1-1,476,266,14-19,14.0,210,43,4.9,11-100,1,0,1,18:56,Navy,24,away,0,2,,,,1,6,16,0,1,20,8-15,1-1,289,42,5-12,2.9,254,54,4.7,5-40,3,0,3,17:34,-1,0,3,,,,,,
69,272510127,Bowling Green,17,away,1,1,0,0,4,1,5,20,6-17,1-1,342,328,32-51,5.8,47,25,1.9,4-34,4,2,2,18:26,Michigan State,28,home,2,2,3,0,7,2,4,10,0,2,20,5-12,0-0,392,257,17-29,8.6,142,41,3.5,3-26,3,1,2,18:04,26,0,2,,,,,,
70,272510356,Western Illinois,0,away,1,0,11,0,5,0,,4,3-17,0-2,152,71,11-21,3.4,81,34,2.4,4-19,1,0,1,18:02,Illinois,21,home,0,2,51,0,5,0,3,0,0,1,21,6-17,1-1,400,141,12-26,4.7,277,52,5.3,7-65,2,1,1,18:38,12,0,1,87,0,4,,,
71,272512439,UNLV,13,home,0,0,8,0,3,1,7,15,7-15,0-2,306,271,23-36,7.2,48,27,1.8,4-30,1,0,1,16:41,Wisconsin,20,away,0,1,28,0,4,1,6,32,0,1,17,5-15,1-2,348,144,14-26,5.3,210,41,5.1,6-48,0,0,0,19:14,,,,,,,,,
72,272512294,Syracuse,0,away,1,0,0,0,1,0,0,5,2-15,0-1,103,111,7-20,4.0,24,30,0.8,6-40,1,0,1,14:52,Iowa,35,home,0,1,113,0,7,4,5,13,0,1,22,13-19,1-1,408,302,24-37,7.8,118,41,2.9,4-35,3,1,2,21:48,58,0,2,,,,,,
73,272510130,Oregon,39,away,2,2,23,0,4,3,7,28,6-13,1-2,624,305,17-26,11.3,331,51,6.5,6-55,1,1,0,17:26,Michigan,7,home,1,0,11,0,2,1,1,,,,22,7-19,1-2,365,251,18-40,5.5,144,44,3.3,8-58,4,2,2,19:14,77,0,2,,,,,,
