,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
631,263150103,Duke,7,away,1,1,0,1,17,6-17,1-4,301,147,20-40,3.3,170,31,5.5,2-16,2,0,2,16:32,Boston College,28,home,0,2,12,0,3,2,4,31,6-13,0-3,501,279,25-40,6.5,241,42,5.7,5-34,2,1,1,20:08,,,,29,0,2,,,,0,0,1,,,
632,263150228,NC State,14,away,1,1,0,2,16,7-17,1-3,273,106,10-25,3.8,178,45,4.0,2-10,2,0,2,18:18,Clemson,20,home,0,1,7,0,2,1,8,18,4-11,0-0,369,156,15-24,6.1,223,39,5.7,5-41,3,1,2,18:22,6,0,4,6,0,2,,,,34,1,2,,,
633,263150153,North Carolina,0,home,1,0,0,,12,2-13,1-2,211,163,13-34,4.6,55,23,2.4,7-54,2,0,2,15:36,Georgia Tech,7,away,0,1,36,0,5,0,1,15,9-19,1-1,221,83,10-24,3.3,143,44,3.3,6-57,2,1,1,21:04,16,0,2,17,0,2,,,,0,0,1,,,
634,263152229,Florida International,0,home,2,0,0,,9,2-12,0-3,210,225,19-36,5.6,10,21,0.5,5-35,3,2,1,15:12,Louisiana Monroe,35,away,2,2,5,0,3,2,5,16,10-16,0-1,346,201,15-18,10.2,162,47,3.4,5-38,2,2,0,20:39,12,0,1,26,1,1,,,,,,,,,
635,263152226,Florida Atlantic,17,home,1,0,2,5,18,3-12,0-0,347,334,24-37,8.4,35,27,1.3,7-50,2,0,2,18:13,Troy,24,away,0,0,3,0,4,3,6,18,3-14,2-4,454,333,20-29,11.2,129,39,3.3,3-25,2,1,1,18:27,-1,0,2,7,0,2,,,,18,0,1,,,
636,263222426,Temple,6,away,1,0,1,0,11,4-14,0-4,229,247,20-33,6.5,13,27,0.5,6-50,2,0,2,18:20,Navy,42,home,0,6,18,0,5,0,6,25,3-8,0-0,455,47,3-8,4.4,420,56,7.5,3-25,2,1,1,18:20,42,0,3,41,0,2,,,,11,0,1,,,
637,263220213,Penn State,17,home,0,0,2,5,22,4-14,1-1,325,252,17-37,5.9,105,39,2.7,3-25,5,5,0,19:00,Michigan State,13,away,5,0,6,0,2,1,7,18,6-19,0-2,305,314,30-62,4.7,14,15,0.9,7-60,0,0,0,17:30,11,0,7,,,,,,,,,,,,
638,263220077,Northwestern,27,home,3,2,1,9,25,9-18,1-1,364,292,22-30,9.0,95,52,1.8,2-25,2,2,0,23:43,Illinois,16,away,2,1,14,0,2,,2,7,3-12,0-2,279,76,4-18,3.6,214,26,8.2,7-56,3,3,0,12:57,9,0,1,,,,,,,,,,,,
639,263220275,Buffalo,3,away,2,0,0,3,6,2-13,0-0,159,120,6-23,4.7,52,28,1.9,2-15,5,4,1,15:38,Wisconsin,35,home,4,3,3,0,4,2,5,19,3-11,0-1,436,336,16-27,11.4,128,42,3.0,2-25,3,2,1,20:09,9,0,2,5,0,1,,,,0,0,1,,,
640,263220135,Minnesota,34,home,2,3,2,4,23,6-13,3-3,459,276,18-30,8.9,192,42,4.6,6-50,1,0,1,19:55,Iowa,24,away,0,1,53,0,3,2,6,26,6-10,0-1,546,361,27-38,9.6,182,36,5.1,3-33,6,2,4,16:45,11,0,1,2,0,1,,,,32,0,4,,,
641,263220194,Ohio State,42,home,0,2,4,6,24,6-11,0-0,503,321,29-41,7.7,187,29,6.4,4-50,3,2,1,17:35,Michigan,39,away,2,3,0,0,1,2,7,17,4-13,0-1,397,300,21-35,7.6,130,30,4.3,5-45,0,0,0,18:09,0,0,4,0,0,1,,,,,,,,,
642,263222509,Indiana,19,away,1,1,1,7,20,5-15,2-4,505,295,26-42,6.9,215,31,6.9,6-46,4,4,0,18:20,Purdue,28,home,4,3,28,0,3,1,4,22,6-13,0-0,435,266,18-32,8.1,175,39,4.5,1-9,5,1,4,18:20,31,0,3,,,,,,,50,0,4,,,
643,263220030,California,9,away,0,0,1,1,14,7-15,0-1,275,179,17-38,4.6,99,26,3.8,3-22,4,2,2,16:09,USC,23,home,2,0,1,0,3,2,14,19,4-13,1-1,358,238,18-31,7.7,120,31,3.9,10-71,0,0,0,20:31,0,0,2,0,0,2,,,,,,,,,
644,263220009,Arizona State,12,home,0,0,0,12,14,4-17,0-2,264,181,11-30,5.0,115,37,3.1,4-33,1,0,1,19:43,UCLA,24,away,0,1,-2,0,4,2,6,13,3-13,1-1,274,197,14-24,7.8,87,30,2.9,2-18,0,0,0,16:57,24,0,5,19,0,1,,,,,,,,,
645,263220265,Washington State,32,home,0,1,2,6,26,10-20,1-2,430,350,32-54,6.1,102,31,3.3,2-10,1,1,0,19:06,Washington,35,away,1,2,26,1,3,2,5,14,5-14,0-0,380,287,14-27,10.0,109,31,3.5,6-45,2,0,2,17:34,,,,,,,,,,57,1,2,,,
646,263220024,Oregon State,30,away,2,1,2,12,24,4-13,2-2,385,184,16-25,7.1,208,47,4.4,7-65,0,0,0,23:56,Stanford,7,home,0,1,26,0,4,0,1,12,2-9,1-2,210,155,9-26,4.8,85,21,4.0,3-25,3,2,1,12:44,15,0,4,,,,,,,17,0,1,,,
647,263222483,Oregon,10,home,0,1,0,4,18,8-16,0-4,346,183,25-45,4.1,163,26,6.3,2-20,6,2,4,14:20,Arizona,37,away,2,2,,,,2,,16,5-14,0-0,363,157,9-14,9.5,230,45,5.1,9-85,0,0,0,22:20,7,0,4,38,0,4,,,,,,,,,
648,263220183,Connecticut,14,away,1,0,2,2,17,11-19,0-0,266,232,21-33,5.9,70,39,1.8,2-10,3,0,3,19:02,Syracuse,20,home,0,1,16,0,4,1,8,14,4-13,0-0,306,167,9-19,7.5,163,39,4.2,4-35,1,1,0,17:38,19,0,4,22,0,3,,,,,,,,,
649,263200221,West Virginia,45,away,0,4,2,9,25,9-14,0-1,641,204,11-16,12.8,437,47,9.3,4-40,0,0,0,20:32,Pittsburgh,27,home,0,0,82,1,2,2,9,16,6-13,0-2,340,386,28-37,9.2,-1,19,-0.1,4-40,0,0,0,16:05,2,0,1,,,,,,,,,,,,
650,263222132,Cincinnati,30,home,0,1,1,12,15,6-14,1-1,402,277,11-15,18.5,125,46,2.7,7-70,3,3,0,19:49,Rutgers,11,away,3,1,11,0,2,0,3,14,7-17,1-2,288,245,21-42,5.7,50,21,2.4,6-45,4,0,4,16:23,4,0,5,,,,,,,88,1,4,,,
651,263222305,Kansas,39,home,4,2,0,15,21,3-11,1-1,355,116,11-23,4.7,247,36,6.9,6-38,4,2,2,17:11,Kansas State,20,away,2,1,0,0,2,0,8,20,7-16,1-2,362,263,23-44,5.5,118,30,3.9,6-75,7,4,3,18:37,3,0,2,-2,0,2,,,,65,1,3,,,
652,263220066,Iowa State,21,home,1,2,1,3,23,8-16,2-2,349,162,15-27,5.7,196,48,4.1,5-40,1,0,1,20:47,Missouri,16,away,0,1,9,0,1,1,4,22,7-15,1-2,400,324,29-44,7.0,90,24,3.8,5-41,1,1,0,15:22,8,0,5,,,,,,,,,,,,
653,263222641,Oklahoma State,24,away,1,2,1,6,24,10-19,2-3,385,180,13-34,4.8,221,50,4.4,5-25,1,0,1,22:14,Texas Tech,30,home,0,1,50,0,4,2,12,19,6-14,0-1,434,362,28-44,8.0,81,17,4.8,7-67,1,1,0,14:26,4,0,4,28,0,1,,,,,,,,,
