,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_fumblesRecovered,team2_totalFumbles,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns
756,401019534,Tulsa,29,away,4,,,,0,144,0,6,3,,,,1,1,2,0,43,0,0,1,22,7-14,3-3,370,206,19-28,7.4,164,44,3.7,7-75,2,1,1,27:37,Navy,37,home,5,0,103,0,5,7,1,1,4,0,45,0,3,4,21,11-15,1-1,404,15,1-2,7.5,389,63,6.2,4-45,1,1,0,32:23,54,0,1,15,0,2
757,401019530,SMU,18,home,0,,,,2,37,0,3,4,44,0,2,0,,5,0,24,0,2,4,25,5-17,3-6,366,341,30-57,6.0,25,26,1.0,5-32,3,2,1,31:49,Memphis,28,away,2,2,17,0,2,4,2,,8.5,0,29,2.5,2,7,21,10-17,0-0,434,226,18-31,7.3,208,43,4.8,12-143,2,0,2,28:11,18,0,1,-1,0,1
758,401021695,South Alabama,38,away,3,,,,2,104,0,5,8,0,0,1,0,,,,,,,,27,11-19,5-5,477,254,18-28,9.1,223,57,3.9,9-61,3,2,1,35:59,Louisiana,48,home,3,3,117,0,4,12,2,0,1,0,63,0,1,3,17,6-11,0-0,407,197,13-19,10.4,210,33,6.4,6-66,1,0,1,24:01,8,0,1,24,0,1
759,401021693,Louisiana Monroe,17,away,1,,,,1,71,0,4,5,,,,0,1,13,0,40,1,0,3,16,5-11,0-0,276,218,17-28,7.8,58,26,2.2,5-63,3,0,3,26:01,Arkansas State,31,home,0,3,7,0,1,7,0,,7,1,26,3,0,1,20,9-17,0-0,404,246,21-27,9.1,158,39,4.1,7-68,0,0,0,33:59,43,1,3,55,0,4
760,401021696,Texas State,7,away,1,3,0,1,0,13,0,1,4,,,,0,2,5,0,31,1,1,6,13,6-13,0-0,284,155,9-23,6.7,129,36,3.6,2-10,6,1,5,24:01,Troy,12,home,0,0,62,0,2,12,1,1,5,0,23,1,1,5,13,7-22,1-1,220,79,13-27,2.9,141,47,3.0,4-25,0,0,0,35:59,46,0,5,22,0,2
761,401021692,Appalachian State,45,home,2,14,0,2,3,,,,9,64,1,2,0,,3,1,23,0,4,3,25,6-12,3-3,524,296,22-26,11.4,228,39,5.8,0-0,0,0,0,31:27,Georgia State,17,away,1,1,16,0,1,5,0,,4,0,36,3,0,3,15,6-12,0-0,329,132,10-21,6.3,197,34,5.8,6-61,2,0,2,28:33,,,,7,0,1
762,401021694,Coastal Carolina,17,home,0,,,,2,17,0,1,5,,,,1,3,3,0,34,0,2,1,11,4-15,2-2,189,115,12-24,4.8,74,34,2.2,0-0,1,1,0,26:55,Georgia Southern,41,away,5,0,-27,0,2,11,1,1,5,0,34,3,0,2,19,4-10,1-1,442,33,4-6,5.5,409,54,7.6,2-17,1,1,0,33:05,,,,,,
763,401015048,VMI,14,away,1,2,0,1,1,51,0,3,2,,,,0,2,5,0,46,2,2,2,15,4-15,1-4,288,216,18-42,5.1,72,26,2.8,3-40,4,2,2,22:31,Old Dominion,77,home,7,2,18,0,1,11,2,1,5,2,30,4,7,13,32,11-16,3-3,509,170,18-25,6.8,339,58,5.8,4-27,0,0,0,37:29,65,1,2,70,1,3
764,401012800,USC,17,home,1,22,0,1,1,57,0,3,5,0,0,1,0,2,9,0,36,3,0,6,24,7-15,1-1,443,349,37-51,6.8,94,24,3.9,8-70,2,2,0,34:00,Notre Dame,24,away,1,2,,,,6,2,0,2,0,44,2,0,5,23,6-15,1-2,473,352,22-39,9.0,121,31,3.9,3-38,1,0,1,25:49,,,,7,0,2
765,401012352,Georgia Tech,21,away,1,,,,1,100,1,1,3,,,,1,2,5,1,30,0,0,0,12,3-13,3-6,219,91,5-14,6.5,128,46,2.8,2-20,0,0,0,29:27,Georgia,45,home,2,4,16,0,1,9,0,1,9,0,28,3,0,2,25,2-5,2-2,447,162,15-19,8.5,285,42,6.8,2-10,1,1,0,30:03,,,,27,0,1
