,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
422,312882653,Troy,10,home,2,1,0,119,0,6,4,,,,9,3-15,0-2,126,164,20-36,3.9,-14,21,-0.7,4-20,3,1,2,14:57,Louisiana Monroe,38,away,1,2,-5,0,4,3,85,0,4,6,0,0,2,20,8-16,1-3,523,278,23-33,8.3,248,44,5.6,5-46,2,2,0,25:27,18,0,4
423,312952426,East Carolina,38,away,1,3,2,94,0,4,8,,,,32,11-17,2-2,504,383,40-45,8.3,132,44,3.0,2-20,0,0,0,20:01,Navy,35,home,0,2,21,0,2,2,180,1,6,5,,,,23,3-11,2-3,420,144,7-16,8.5,284,51,5.6,2-8,1,1,0,16:24,0,0,1
424,312940183,West Virginia,23,away,0,1,2,161,0,7,5,,,,20,6-13,1-2,408,372,24-41,8.2,70,24,2.9,5-37,2,0,2,14:45,Syracuse,49,home,0,2,0,0,3,4,174,1,4,7,37,0,2,23,12-17,0-0,443,249,25-33,7.5,194,41,4.7,3-25,0,0,0,21:42,23,0,3
425,312940097,Louisville,16,home,0,1,1,46,0,2,4,33,0,3,14,3-10,0-0,309,122,10-18,6.8,187,34,5.5,10-72,1,0,1,18:04,Rutgers,14,away,0,1,1,0,3,1,49,0,2,2,0,0,1,19,6-13,1-1,298,216,18-33,6.3,91,30,3.0,8-40,3,0,3,18:36,0,0,1
426,312952638,UTEP,31,home,1,3,1,88,0,3,7,74,0,1,18,3-9,1-1,456,126,8-15,7.7,340,36,9.4,7-77,2,1,1,14:32,Colorado State,17,away,1,1,39,0,2,0,184,0,5,5,45,1,1,18,4-16,3-4,255,213,19-33,4.9,93,43,2.2,5-40,2,1,1,21:16,15,0,3
427,312952628,TCU,69,home,3,7,2,11,0,1,9,,,,22,8-11,0-0,515,263,15-21,12.0,264,44,6.0,6-41,0,0,0,18:26,New Mexico,0,away,0,0,,,,0,133,0,6,,,,,5,1-12,0-1,85,34,8-11,1.9,64,37,1.7,7-50,3,3,0,18:22,49,1,5
428,312950068,Boise State,37,home,1,1,3,31,0,3,7,0,0,1,23,5-8,0-0,423,281,23-29,9.7,142,26,5.5,4-32,2,1,1,14:22,Air Force,26,away,1,3,,,,0,106,0,6,8,0,0,1,23,9-19,4-5,408,161,8-17,8.5,264,65,4.1,4-26,2,1,1,22:18,15,0,3
429,312952226,Florida Atlantic,14,home,1,1,1,132,0,7,2,38,0,2,16,5-12,0-0,276,163,14-29,4.7,141,35,4.0,6-55,6,5,1,17:59,Middle Tennessee,38,away,5,2,31,0,4,3,73,0,3,8,64,0,1,26,7-18,1-3,479,294,31-42,7.0,187,48,3.9,7-59,3,1,2,18:41,-2,0,3
430,312950249,Louisiana Monroe,21,away,0,2,0,165,1,5,3,,,,18,2-14,1-2,343,241,16-35,5.7,142,35,4.1,1-5,3,2,1,17:45,North Texas,38,home,2,1,5,0,2,3,20,0,3,8,0,0,1,20,6-16,0-0,459,347,23-39,8.5,127,33,3.8,3-35,0,0,0,18:55,-3,0,2
431,312950052,Florida State,41,home,0,4,1,62,0,2,11,,,,25,7-13,0-0,482,303,18-26,10.2,218,44,5.0,8-54,1,0,1,19:30,Maryland,16,away,0,1,13,0,2,1,125,0,6,4,0,0,1,18,8-19,0-0,331,325,20-38,7.2,59,37,1.6,7-59,0,0,0,16:28,8,0,7
432,312950058,Cincinnati,37,away,3,2,3,117,0,5,7,0,0,1,26,7-16,0-0,501,388,26-41,9.3,118,34,3.5,10-73,3,1,2,17:28,South Florida,34,home,1,1,39,0,3,3,112,0,7,10,0,0,2,30,6-15,1-1,508,438,31-48,8.5,99,35,2.8,10-109,4,3,1,19:12,0,0,1
433,312930005,UAB,26,home,0,1,2,71,0,5,8,21,0,2,27,9-15,0-1,501,328,31-42,7.8,174,36,4.8,5-45,2,0,2,20:30,UCF,24,away,0,3,6,0,1,0,175,0,5,6,27,0,2,19,5-10,0-1,331,235,19-32,7.3,96,24,4.0,5-45,2,0,2,15:10,8,0,2
