,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted
307,400756941,Wake Forest,16,home,0,0,7,0,1,1,38,0,3,10,,,,27,7-15,1-1,357,215,27-43,5.0,142,36,3.9,5-32,2,1,1,35:56,Florida State,24,away,1,2,1,129,0,5,6,14,6-12,0-0,329,202,20-31,6.5,127,21,6.0,10-100,0,0,0,24:04,,,,0,0,1
308,400756939,Duke,9,home,1,0,18,0,2,0,35,0,2,9,,,,16,4-17,0-1,228,195,18-36,5.4,33,35,0.9,5-31,0,0,0,28:10,Boston College,7,away,0,0,1,46,0,3,1,13,5-16,0-2,305,141,8-21,6.7,164,41,4.0,6-60,1,1,0,31:50,12,0,4,,,
309,400756943,Louisville,20,away,2,1,-5,0,2,1,18,0,1,8,,,,20,8-18,0-0,306,103,10-27,3.8,203,45,4.5,6-50,0,0,0,33:04,NC State,13,home,0,1,1,169,0,5,1,11,5-16,0-2,228,183,16-28,6.5,45,30,1.5,4-50,2,2,0,26:56,17,0,2,,,
310,400756945,Pittsburgh,17,away,0,1,9,0,2,1,30,0,1,5,12,0,3,15,6-16,1-1,276,110,9-15,7.3,166,46,3.6,8-60,1,1,0,34:00,Virginia Tech,13,home,1,0,1,16,0,1,7,12,4-13,0-1,100,91,9-20,4.6,9,33,0.3,5-40,3,0,3,26:00,2,0,1,,,
311,400764873,Cincinnati,34,home,0,2,69,0,1,2,19,0,1,10,,,,22,2-9,0-0,446,279,22-33,8.5,167,34,4.9,7-75,1,0,1,25:22,Miami,23,away,0,2,0,72,0,3,11,21,4-15,0-1,427,281,25-40,7.0,146,32,4.6,6-50,0,0,0,34:38,20,0,3,37,0,1
312,400756942,North Carolina,38,away,1,4,,,,1,21,0,1,8,2,0,1,21,2-8,1-1,413,182,15-26,7.0,231,31,7.5,6-42,0,0,0,21:15,Georgia Tech,31,home,0,3,1,52,0,2,7,27,5-13,3-5,417,168,12-21,8.0,249,59,4.2,4-39,2,1,1,38:45,,,,,,
313,400760494,Penn State,20,home,3,1,25,0,1,1,14,0,1,8,,,,12,5-15,1-1,264,156,10-19,8.2,108,34,3.2,3-20,0,0,0,28:41,Army,14,away,0,2,0,85,0,4,2,17,5-10,0-1,293,32,1-1,32.0,261,55,4.7,4-45,3,3,0,31:19,15,0,4,,,
314,400763429,Kansas State,34,away,1,3,0,0,2,2,95,0,5,4,0,0,1,22,4-11,1-1,351,207,13-25,8.3,144,42,3.4,9-54,1,0,1,34:33,Oklahoma State,36,home,0,1,4,88,0,4,6,26,9-15,1-1,490,441,35-56,7.9,49,27,1.8,8-95,2,1,1,25:27,12,0,2,0,0,1
315,400763431,Texas Tech,35,away,0,1,-6,0,3,4,72,0,7,5,0,0,1,27,8-18,2-5,636,530,40-65,8.2,106,24,4.4,17-142,4,2,2,29:13,Baylor,63,home,2,5,4,62,0,3,9,26,11-16,0-1,680,312,16-24,13.0,368,52,7.1,8-72,1,0,1,30:47,-5,0,2,46,0,2
316,400763428,West Virginia,24,away,1,2,6,0,3,1,84,0,4,6,7,0,1,26,8-20,2-2,369,173,17-32,5.4,196,53,3.7,11-111,5,2,3,33:11,Oklahoma,44,home,2,1,3,24,0,2,14,16,2-12,0-1,427,320,14-25,12.8,107,33,3.2,12-134,2,1,1,26:49,36,0,2,94,0,3
