,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
534,243112084,Buffalo,7,home,1,0,,,,1,1,7,1-14,3-3,116,138,10-20,5.6,4,31,0.1,0-0,2,1,1,16:17,Kent State,33,away,1,5,61,0,6,0,1,0,0,1,25,7-14,1-2,489,178,17-25,6.7,322,48,6.7,0-0,1,1,0,20:36,,,
535,243112199,Central Michigan,58,away,0,2,17,0,4,5,12,27,6-15,0-0,457,344,24-35,9.1,138,47,2.9,0-0,5,3,2,19:39,Eastern Michigan,61,home,3,3,33,0,4,4,17,30,0,2,27,11-24,1-2,551,367,31-54,6.8,184,46,4.0,0-0,1,0,1,18:56,26,0,1
536,243110242,Rice,14,home,0,2,10,0,1,1,3,22,9-19,2-4,443,202,9-19,8.3,286,63,4.5,0-0,4,1,3,22:07,Fresno State,52,away,1,2,89,1,2,3,10,200,1,3,18,5-10,0-0,310,207,13-19,10.7,107,32,3.3,0-0,0,0,0,14:31,,,
537,243112653,Florida Atlantic,6,away,1,0,30,0,5,0,6,9,4-17,1-1,248,299,15-28,9.3,-12,33,-0.4,0-0,2,0,2,18:30,Troy,24,home,0,1,83,1,6,1,6,27,0,2,14,4-16,1-2,263,155,8-18,7.1,135,45,3.0,0-0,1,1,0,17:45,,,
538,243112567,SMU,41,home,0,4,35,0,3,1,9,18,5-16,1-1,390,210,15-26,7.7,189,45,4.2,0-0,1,1,0,19:33,Tulsa,35,away,1,3,63,0,5,0,9,,,,16,4-18,1-1,353,274,14-31,8.1,103,42,2.5,0-0,2,0,2,17:03,10,0,2
539,243180154,Wake Forest,24,home,1,2,11,0,5,0,6,22,4-16,0-1,335,123,12-29,3.8,226,49,4.6,0-0,1,0,1,18:05,North Carolina,31,away,0,2,27,0,6,2,7,0,0,1,19,5-15,2-2,400,248,19-37,6.3,166,38,4.4,0-0,2,1,1,18:39,21,1,1
540,243160152,Florida State,17,away,2,2,108,0,7,0,5,9,3-18,0-0,121,113,5-18,4.1,48,50,1.0,0-0,2,1,1,20:41,NC State,10,home,1,0,126,1,8,0,4,0,0,1,7,1-16,0-1,123,127,9-25,4.0,23,34,0.7,0-0,2,2,0,15:59,,,
541,243180127,Wisconsin,14,away,0,2,46,0,3,0,2,23,6-17,0-2,396,189,21-39,4.6,217,41,5.3,0-0,1,1,0,19:40,Michigan State,49,home,1,3,43,1,4,3,7,,,,23,4-10,1-1,551,124,10-20,6.1,430,44,9.8,0-0,1,0,1,16:18,-5,0,1
542,243180135,Minnesota,27,home,0,3,24,0,4,0,9,20,5-16,2-2,410,79,9-17,4.3,337,54,6.2,0-0,4,1,3,17:45,Iowa,29,away,1,0,35,0,1,2,17,0,0,2,18,8-16,0-0,339,371,24-39,8.5,6,27,0.2,0-0,0,0,0,18:56,,,
543,243180130,Northwestern,20,away,0,1,,,,1,8,21,6-17,1-2,405,223,24-44,4.9,190,34,5.6,0-0,0,0,0,18:21,Michigan,42,home,0,3,112,1,4,2,6,,,,24,6-11,0-1,421,204,20-29,6.6,231,39,5.9,0-0,0,0,0,18:17,,,
